,name,search_query,occupation,nationality,birth_year,wikipedia_birth_year,citation,Prompt1
171,Erkki Liikanen,Erkki Liikanen,governor of the bank of finland,finnish,1950,1950,17,Erkki Liikanen was a finnish governor of the bank of finland. When was Erkki Liikanen born.
172,Nick Davies,Nick Davies,"journalist , writer , documentary maker",british,1953,1953,25,"Nick Davies was a british journalist , writer , documentary maker. When was Nick Davies born."
173,George Robert Carter,George R. Carter,banker ; politician,"hawaiian , american",1866,1866,7,"George Robert Carter was a hawaiian , american banker ; politician. When was George Robert Carter born."
174,"Walter M. Miller , Jr. .","Walter M. Miller, Jr.","novelist , short story writer",american,1923,1923,0,"Walter M. Miller , Jr. . was a american novelist , short story writer. When was Walter M. Miller , Jr. . born."
175,John Jakes,John Jakes,writer,american,1932,1932,13,John Jakes was a american writer. When was John Jakes born.
176,Alexander Godunov,Alexander Godunov,ballet dancer actor ballet coach,soviet united states -lrb- 1987 -- 1995 -rrb- -lrb- 1949 -- 1982 ; def . -rrb-,1949,1949,28,Alexander Godunov was a soviet united states -lrb- 1987 -- 1995 -rrb- -lrb- 1949 -- 1982 ; def . -rrb- ballet dancer actor ballet coach. When was Alexander Godunov born.
177,Daniel Ilabaca,Daniel Ilabaca,"freerunner , traceur",british,1988,1988,12,"Daniel Ilabaca was a british freerunner , traceur. When was Daniel Ilabaca born."
178,Philip Wayne `` Phil '' Johnson,Phil Johnson (judge),attorney ; judge,american,1944,1944,5,Philip Wayne `` Phil '' Johnson was a american attorney ; judge. When was Philip Wayne `` Phil '' Johnson born.
179,Regina 11,Regina 11,psychic,colombian,1936,1936,3,Regina 11 was a colombian psychic. When was Regina 11 born.
180,Edith Peinemann,Edith Peinemann,"violinist , professor",german,1937,1937,25,"Edith Peinemann was a german violinist , professor. When was Edith Peinemann born."
181,Apostol Tnokovski,Apostol Tnokovski,product designer,macedonian,1982,1982,9,Apostol Tnokovski was a macedonian product designer. When was Apostol Tnokovski born.
182,Bart Staes,Bart Staes,"teacher , politician",belgian,1958,1958,0,"Bart Staes was a belgian teacher , politician. When was Bart Staes born."
183,Terry Kennedy,Terry Kennedy (skateboarder),professional skateboarder,american,1985,1984,16,Terry Kennedy was a american professional skateboarder. When was Terry Kennedy born.
184,Lee E. Mcmahon,Lee E. Mcmahon,computer scientist,united states,1931,1931,15,Lee E. Mcmahon was a united states computer scientist. When was Lee E. Mcmahon born.
185,Carla Abellana,Carla Abellana,actress model endorser tv host,filipino,1986,1986,20,Carla Abellana was a filipino actress model endorser tv host. When was Carla Abellana born.
186,Gail Z. Martin,Gail Z. Martin,writer,american,1962,1962,16,Gail Z. Martin was a american writer. When was Gail Z. Martin born.
187,Anita Lobel,Anita Lobel,illustrator,american,1934,1934,4,Anita Lobel was a american illustrator. When was Anita Lobel born.
188,Elizabeth Williams Champney,Elizabeth Williams Champney,novelist,american,1850,1850,44,Elizabeth Williams Champney was a american novelist. When was Elizabeth Williams Champney born.
189,Óscar García Barrón,Óscar García Barrón,politician,mexican,1959,1959,9,Óscar García Barrón was a mexican politician. When was Óscar García Barrón born.
190,Maria Laina,Maria Laina,"poet , translator , critic",greek,1947,1947,2,"Maria Laina was a greek poet , translator , critic. When was Maria Laina born."
191,Etō Shinpei 江藤新平,Etō Shimpei,"politician , cabinet minister",japan,1834,1834,0,"Etō Shinpei 江藤新平 was a japan politician , cabinet minister. When was Etō Shinpei 江藤新平 born."
192,Philippe Kirsch,Philippe Kirsch,lawyer,canadian,1947,1947,3,Philippe Kirsch was a canadian lawyer. When was Philippe Kirsch born.
193,Linda Grant,Linda Grant,novelist,british,1951,1951,24,Linda Grant was a british novelist. When was Linda Grant born.
194,William Fetter,William Fetter,"director , chair of design department for siu communications design director and , boeing , seattle ceo of siroco , a research corporation",american,1928,1928,35,"William Fetter was a american director , chair of design department for siu communications design director and , boeing , seattle ceo of siroco , a research corporation. When was William Fetter born."
195,Sarah-Quita Offringa,Sarah-Quita Offringa,professional windsurfer,dutch,1991,1991,3,Sarah-Quita Offringa was a dutch professional windsurfer. When was Sarah-Quita Offringa born.
196,Chenese Lewis,Chenese Lewis,"actress , host , plus-size model",american,1979,1979,12,"Chenese Lewis was a american actress , host , plus-size model. When was Chenese Lewis born."
197,James Summers,James Summers,"educator , o-yatoi gaikokujin",british,1828,1828,14,"James Summers was a british educator , o-yatoi gaikokujin. When was James Summers born."
198,Lorrie Moore,Lorrie Moore,"short-story writer , novelist",american,1957,1957,23,"Lorrie Moore was a american short-story writer , novelist. When was Lorrie Moore born."
199,Therese Anne Fowler,Therese Fowler,novelist,american,1967,1967,3,Therese Anne Fowler was a american novelist. When was Therese Anne Fowler born.
200,Edward J. Lakso,Edward J. Lakso,"screenwriter , composer , producer",american,1932,1932,9,"Edward J. Lakso was a american screenwriter , composer , producer. When was Edward J. Lakso born."
201,Myles Munroe,Myles Munroe,pastor,bahamian,1954,1954,12,Myles Munroe was a bahamian pastor. When was Myles Munroe born.
202,Alfred Roberts,Alfred Roberts,grocer,british,1892,1892,30,Alfred Roberts was a british grocer. When was Alfred Roberts born.
203,Ailyn Giménez,Ailyn,singer-songwriter,spanish,1982,1982,10,Ailyn Giménez was a spanish singer-songwriter. When was Ailyn Giménez born.
204,Boyd B. Jones,Boyd B. Jones,attorney,american,1856,1856,7,Boyd B. Jones was a american attorney. When was Boyd B. Jones born.
205,Víctor Ernesto González Huerta,Víctor Ernesto González Huerta,politician,mexican,1964,1964,1,Víctor Ernesto González Huerta was a mexican politician. When was Víctor Ernesto González Huerta born.
206,Robert Stiff,Robert Stiff,businessman ; entrepreneur,british,1960,1960,14,Robert Stiff was a british businessman ; entrepreneur. When was Robert Stiff born.
207,Ernest Archer,Ernest Archer,art director,british,1910,1910,1,Ernest Archer was a british art director. When was Ernest Archer born.
208,Richard Allen Minsky,Richard Allen Minsky,used car salesman,american,1944,1944,53,Richard Allen Minsky was a american used car salesman. When was Richard Allen Minsky born.
209,Jean-Joseph Chapuis,Jean-Joseph Chapuis,cabinetmaker,french,1765,1765,0,Jean-Joseph Chapuis was a french cabinetmaker. When was Jean-Joseph Chapuis born.
210,Chaudhry Muhammad Barjees Tahir چوھدری محمد برجیس طاہر,Chaudhry Muhammad Barjees Tahir,member of parliament,pakistani,1949,1948,0,Chaudhry Muhammad Barjees Tahir چوھدری محمد برجیس طاہر was a pakistani member of parliament. When was Chaudhry Muhammad Barjees Tahir چوھدری محمد برجیس طاہر born.
211,Vicente Aleixandre,Vicente Aleixandre,poet,spanish,1898,1898,11,Vicente Aleixandre was a spanish poet. When was Vicente Aleixandre born.
212,Valangaiman Sankaranarayana Srinivasa Sastri,V. S. Srinivasa Sastri,headmaster,indian,1869,1869,101,Valangaiman Sankaranarayana Srinivasa Sastri was a indian headmaster. When was Valangaiman Sankaranarayana Srinivasa Sastri born.
213,Doyle Dudley Glass,Doyle Glass,"historian , sculptor",american,1962,1962,3,"Doyle Dudley Glass was a american historian , sculptor. When was Doyle Dudley Glass born."
214,John Jordan,John Jordan (poet),"poet , critic , short-story writer",irish,1930,1930,1,"John Jordan was a irish poet , critic , short-story writer. When was John Jordan born."
215,John Birmingham,John Birmingham,"writer , author",australian,1964,1964,29,"John Birmingham was a australian writer , author. When was John Birmingham born."
216,Deepak Parambol,Deepak Parambol,actor,india,1988,1988,5,Deepak Parambol was a india actor. When was Deepak Parambol born.
217,John Alvheim,John Alvheim,politician,norwegian,1930,1930,6,John Alvheim was a norwegian politician. When was John Alvheim born.
218,Marco Antonio Caponi,Marco Antonio Caponi,actor,argentine,1983,1983,0,Marco Antonio Caponi was a argentine actor. When was Marco Antonio Caponi born.
219,Frank Lorenzo,Frank Lorenzo,"investment manager , entrepreneur , and philanthropist",american,1940,1940,190,"Frank Lorenzo was a american investment manager , entrepreneur , and philanthropist. When was Frank Lorenzo born."
220,William Bonner,William Bonner (newscaster),"journalist , publicist , anchor",brazilian,1963,1963,5,"William Bonner was a brazilian journalist , publicist , anchor. When was William Bonner born."
221,Rodney Caston,Rodney Caston,"engineer , writer , libertarian",united states,1977,1977,7,"Rodney Caston was a united states engineer , writer , libertarian. When was Rodney Caston born."
222,Arturo Ramírez Bucio,Arturo Ramírez Bucio,politician,mexican,1962,1962,1,Arturo Ramírez Bucio was a mexican politician. When was Arturo Ramírez Bucio born.
223,Rollo May,Rollo May,psychologist author,american,1909,1909,22,Rollo May was a american psychologist author. When was Rollo May born.
224,Diah Permatasari,Diah Permatasari (actress),actress model,indonesian,1971,1971,2,Diah Permatasari was a indonesian actress model. When was Diah Permatasari born.
225,Leticia Wierzchowski,Letícia Wierzchowski,novelist,polish-brazilian,1972,1972,3,Leticia Wierzchowski was a polish-brazilian novelist. When was Leticia Wierzchowski born.
226,Ed Psaltis,Edward Psaltis,accountant yachtsman,australian,1961,1961,6,Ed Psaltis was a australian accountant yachtsman. When was Ed Psaltis born.
227,Sandra Djwa,Sandra Djwa,"biographer , scholar",canadian,1939,1939,12,"Sandra Djwa was a canadian biographer , scholar. When was Sandra Djwa born."
228,Violeta Avilés Álvarez,Violeta Avilés Álvarez,politician,mexican,1957,1957,1,Violeta Avilés Álvarez was a mexican politician. When was Violeta Avilés Álvarez born.
229,Kevin Mcnally,Kevin Mcnally,actor,british,1956,1956,20,Kevin Mcnally was a british actor. When was Kevin Mcnally born.
230,Maidie Norman,Maidie Norman,actress,american,1912,1912,22,Maidie Norman was a american actress. When was Maidie Norman born.
231,Aamir Khan,Aamir Khan,actor producer director screenwriter television personality social worker,indian,1965,1965,377,Aamir Khan was a indian actor producer director screenwriter television personality social worker. When was Aamir Khan born.
232,Udo Proksch,Udo Proksch,"businessperson , designer , restaurateur",austrian,1934,1934,5,"Udo Proksch was a austrian businessperson , designer , restaurateur. When was Udo Proksch born."
233,Oscar Fay Adams,Oscar Fay Adams,"editor , author",american,1855,1855,4,"Oscar Fay Adams was a american editor , author. When was Oscar Fay Adams born."
234,Sybrand Van Haersma Buma,Sybrand van Haersma Buma,politician civil servant jurist,dutch,1965,1965,10,Sybrand Van Haersma Buma was a dutch politician civil servant jurist. When was Sybrand Van Haersma Buma born.
235,Raul Gil,Raul Gil,television presenter,brazil,1938,1938,4,Raul Gil was a brazil television presenter. When was Raul Gil born.
236,Silvio Gómez Leyva,Silvio Gómez Leyva,politician,mexican,1970,1970,1,Silvio Gómez Leyva was a mexican politician. When was Silvio Gómez Leyva born.
237,Rémi Bezançon,Rémi Bezançon,"film director , screenwriter",french,1971,1971,0,"Rémi Bezançon was a french film director , screenwriter. When was Rémi Bezançon born."
238,Pixel,Daisuke Amaya,video game developer,japanese,1977,1977,9,Pixel was a japanese video game developer. When was Pixel born.
239,Charlotte Zolotow,Charlotte Zolotow,"editor , writer",american,1915,1915,25,"Charlotte Zolotow was a american editor , writer. When was Charlotte Zolotow born."
240,Margaret Utinsky,Margaret Utinsky,nurse,american,1900,1900,17,Margaret Utinsky was a american nurse. When was Margaret Utinsky born.
241,Bryan Harold Cabot Matthews,Bryan Matthews,"professor emeritus professor , cambridge university -lrb- 1973-1986 -rrb- life fellow of , king 's college , cambridge physiology , cambridge university -lrb- 1952-1973 -rrb-",english,1906,1906,9,"Bryan Harold Cabot Matthews was a english professor emeritus professor , cambridge university -lrb- 1973-1986 -rrb- life fellow of , king 's college , cambridge physiology , cambridge university -lrb- 1952-1973 -rrb-. When was Bryan Harold Cabot Matthews born."
242,Rocky Wood,Rocky Wood,writer,new zealander / australian,1959,1959,31,Rocky Wood was a new zealander / australian writer. When was Rocky Wood born.
243,Ştefan Octavian Iosif,Ștefan Octavian Iosif,"poet , translator",romanian,1875,1875,0,"Ştefan Octavian Iosif was a romanian poet , translator. When was Ştefan Octavian Iosif born."
244,Len Stephan,Len Stephan,farmer,australian,1935,1935,2,Len Stephan was a australian farmer. When was Len Stephan born.
245,Luci Baines Johnson,Luci Baines Johnson,"businesswoman , philanthropist",american,1947,1947,15,"Luci Baines Johnson was a american businesswoman , philanthropist. When was Luci Baines Johnson born."
246,Michael Smith,Michael J. Smith (astronaut),test pilot,american,1945,1945,0,Michael Smith was a american test pilot. When was Michael Smith born.
247,Prem Krishna Khanna,Prem Krishna Khanna,freedom fighter,indian,1894,1894,21,Prem Krishna Khanna was a indian freedom fighter. When was Prem Krishna Khanna born.
248,Alexander Lamont,Alec Lamont,barrister,english australian,1850,1850,9,Alexander Lamont was a english australian barrister. When was Alexander Lamont born.
249,Jeff Sutton,Jeff Sutton (real Estate Developer),real estate developer,united states,1960,1960,14,Jeff Sutton was a united states real estate developer. When was Jeff Sutton born.
250,Muhammad Rivai Riza,Riri Riza,director,indonesian,1970,1970,7,Muhammad Rivai Riza was a indonesian director. When was Muhammad Rivai Riza born.
251,Laurence Godfrey,Laurence Godfrey (physicist),physicist and consultant,british,1952,1952,2,Laurence Godfrey was a british physicist and consultant. When was Laurence Godfrey born.
252,Ian Allan,Ian Allan (politician),radio announcer,australian,1916,1916,1,Ian Allan was a australian radio announcer. When was Ian Allan born.
253,William Large,William Large,"public servant , unionist",english australian,1878,1878,3,"William Large was a english australian public servant , unionist. When was William Large born."
254,Luís Filipe Vieira,Luís Filipe Vieira,real estate businessman,portuguese,1949,1949,145,Luís Filipe Vieira was a portuguese real estate businessman. When was Luís Filipe Vieira born.
255,Carolyn Forché,Carolyn Forché,"poet , columnist , essayist , lyricist",american,1950,1950,20,"Carolyn Forché was a american poet , columnist , essayist , lyricist. When was Carolyn Forché born."
256,Octavio Salati,Octavio M. Salati,professor of electrical engineering,united states,1914,1914,16,Octavio Salati was a united states professor of electrical engineering. When was Octavio Salati born.
257,Val Cleaver,Val Cleaver,aerospace engineer,british,1917,1917,7,Val Cleaver was a british aerospace engineer. When was Val Cleaver born.
258,Kathryn Kuhlman,Kathryn Kuhlman,evangelist,american -lrb- of german ancestry -rrb-,1907,1907,36,Kathryn Kuhlman was a american -lrb- of german ancestry -rrb- evangelist. When was Kathryn Kuhlman born.
259,Theodore Newman Kaufman,Theodore N. Kaufman,businessman and writer,american,1911,1911,36,Theodore Newman Kaufman was a american businessman and writer. When was Theodore Newman Kaufman born.
260,Maxi Iglesias,Maxi Iglesias,"actor , model",spanish,1991,1991,5,"Maxi Iglesias was a spanish actor , model. When was Maxi Iglesias born."
261,James Blyth,James Blyth (engineer),engineer,scottish,1839,1839,35,James Blyth was a scottish engineer. When was James Blyth born.
262,Francisco Ivens De Sá Dias Branco,Francisco Ivens de Sá Dias Branco,businessman,brazilian,1934,1934,4,Francisco Ivens De Sá Dias Branco was a brazilian businessman. When was Francisco Ivens De Sá Dias Branco born.
263,Mary Raftery,Mary Raftery,"filmmaker , writer",irish,1957,1957,9,"Mary Raftery was a irish filmmaker , writer. When was Mary Raftery born."
264,Philip Mitchell Baron,Phil Baron,"voice actor , musician , songwriter , cantor",american,1949,1949,1,"Philip Mitchell Baron was a american voice actor , musician , songwriter , cantor. When was Philip Mitchell Baron born."
265,Joanna Russ,Joanna Russ,"academic , feminist , fiction writer",american,1937,1937,55,"Joanna Russ was a american academic , feminist , fiction writer. When was Joanna Russ born."
266,Rama Nagappa Shetty,R. N. Shetty,entrepreneur,indian,1928,1928,36,Rama Nagappa Shetty was a indian entrepreneur. When was Rama Nagappa Shetty born.
267,Carlos Ismael Noriega,Carlos I. Noriega,marine aviator,united states peru,1959,1959,1,Carlos Ismael Noriega was a united states peru marine aviator. When was Carlos Ismael Noriega born.
268,Cameron Colvin,Cameron Colvin,"ceo , cam colvin ceo , rise above agency",american,1986,1986,8,"Cameron Colvin was a american ceo , cam colvin ceo , rise above agency. When was Cameron Colvin born."
269,Robin Roberts,Robin Roberts (newscaster),news anchor,american,1960,1960,50,Robin Roberts was a american news anchor. When was Robin Roberts born.
270,Steve Jay,Steve Jay,"guitarist , bassist",american,1951,1951,2,"Steve Jay was a american guitarist , bassist. When was Steve Jay born."
271,Thomas Welsby,Thomas Welsby,"clerk , accountant , company director",australian,1858,1858,10,"Thomas Welsby was a australian clerk , accountant , company director. When was Thomas Welsby born."
272,Marjoe Gortner,Marjoe Gortner,"christian revivalist , actor",american,1944,1944,37,"Marjoe Gortner was a american christian revivalist , actor. When was Marjoe Gortner born."
273,Kaisyn Kuliev,Qaysin Quli,"poet , writer",balkar,1917,1917,0,"Kaisyn Kuliev was a balkar poet , writer. When was Kaisyn Kuliev born."
274,Alan M. Clark,Alan M. Clark,"artist , illustrator , writer",american,1957,1957,1,"Alan M. Clark was a american artist , illustrator , writer. When was Alan M. Clark born."
275,Daniel Daperis,Daniel Daperis,"actor , director .",australian,1987,1987,0,"Daniel Daperis was a australian actor , director .. When was Daniel Daperis born."
276,Juan Pedro Aladro Y Kastriota,Juan Pedro Aladro Kastriota,diplomat,spanish,1845,1845,22,Juan Pedro Aladro Y Kastriota was a spanish diplomat. When was Juan Pedro Aladro Y Kastriota born.
277,Charles Camarda,Charles Camarda,aerospace engineer,american,1952,1952,4,Charles Camarda was a american aerospace engineer. When was Charles Camarda born.
278,Chris Riddell,Chris Riddell (futurist),futurologist,british,1981,1981,12,Chris Riddell was a british futurologist. When was Chris Riddell born.
279,Jean Simmons,Jean Simmons,"actress , singer , dancer",british-american,1929,1929,55,"Jean Simmons was a british-american actress , singer , dancer. When was Jean Simmons born."
280,Umayya Salah Toukan,Umayya Toukan,economist,jordan jordan,1946,1946,5,Umayya Salah Toukan was a jordan jordan economist. When was Umayya Salah Toukan born.
281,Martin Tenni,Martin Tenni,hardware store proprietor,australian,1934,1934,2,Martin Tenni was a australian hardware store proprietor. When was Martin Tenni born.
282,Nikolai Leskov,Nikolai Leskov,writer,russian,1831,1831,177,Nikolai Leskov was a russian writer. When was Nikolai Leskov born.
283,Feliks Konarski,Feliks Konarski,"poet , songwriter , cabaret performer",polish,1907,1907,2,"Feliks Konarski was a polish poet , songwriter , cabaret performer. When was Feliks Konarski born."
284,Lesley Visser,Lesley Visser,"sportscaster , radio-tv personality , sportswriter",american,1953,1953,33,"Lesley Visser was a american sportscaster , radio-tv personality , sportswriter. When was Lesley Visser born."
285,Mary Jane Marcasiano,Mary Jane Marcasiano,"fashion and social entrepreneur . designer , costume designer , film producer ,",american,1955,1955,31,"Mary Jane Marcasiano was a american fashion and social entrepreneur . designer , costume designer , film producer ,. When was Mary Jane Marcasiano born."
286,Anna Johnston Macmanus,Ethna Carbery,journalist,irish,1866,1864,15,Anna Johnston Macmanus was a irish journalist. When was Anna Johnston Macmanus born.
287,'' Cacai Bautista '',Cacai Bautista,"actress , host , comedian",filipino,1978,1978,0,"'' Cacai Bautista '' was a filipino actress , host , comedian. When was '' Cacai Bautista '' born."
288,Wanda Rutkiewicz,Wanda Rutkiewicz,mountaineer,polish,1943,1943,20,Wanda Rutkiewicz was a polish mountaineer. When was Wanda Rutkiewicz born.
289,Carl Frode Tiller,Carl Frode Tiller,"author , novelist",norwegian,1970,1970,1,"Carl Frode Tiller was a norwegian author , novelist. When was Carl Frode Tiller born."
290,Benjamin Cribb,Benjamin Cribb,"general merchant , businessman",english,1807,1807,17,"Benjamin Cribb was a english general merchant , businessman. When was Benjamin Cribb born."
291,Laura Mclaren,"Laura Mclaren, Baroness Aberconway","activist , author , horticulturist",british,1854,1854,3,"Laura Mclaren was a british activist , author , horticulturist. When was Laura Mclaren born."
292,Chris Evans,Chris Evans (presenter),"television , television presenter , voice actor , comedian producer , radio producer , dj , businessman",british,1966,1966,117,"Chris Evans was a british television , television presenter , voice actor , comedian producer , radio producer , dj , businessman. When was Chris Evans born."
293,Minon,Minon,film actor,indian,2000,2000,7,Minon was a indian film actor. When was Minon born.
294,Muhammad Mojlum Khan,Muhammad Mojlum Khan,"writer , literary critic , scholar",british,1973,1973,11,"Muhammad Mojlum Khan was a british writer , literary critic , scholar. When was Muhammad Mojlum Khan born."
295,Althea Garrison,Althea Garrison,human resources politician,american,1940,1940,170,Althea Garrison was a american human resources politician. When was Althea Garrison born.
296,Glen Hirshberg,Glen Hirshberg,"novelist , writer , teacher",american,1966,1966,28,"Glen Hirshberg was a american novelist , writer , teacher. When was Glen Hirshberg born."
297,Swami R. K. Murugesu,Swami Murugesu,"author , spiritual teacher",sri lankan,1933,1933,0,"Swami R. K. Murugesu was a sri lankan author , spiritual teacher. When was Swami R. K. Murugesu born."
298,José Edmundo Ramírez Martínez,José Edmundo Ramírez Martínez,politician,mexican,1968,1968,1,José Edmundo Ramírez Martínez was a mexican politician. When was José Edmundo Ramírez Martínez born.
299,Juan Pérez Medina,Juan Pérez Medina,politician and educator,mexican,1960,1960,1,Juan Pérez Medina was a mexican politician and educator. When was Juan Pérez Medina born.
300,Henri De Chabot,Henri Chabot,duke of rohan,french,1616,1616,1,Henri De Chabot was a french duke of rohan. When was Henri De Chabot born.
301,Manu Payet,Manu Payet,"actor , screenwriter , comedian , radio presenter , tv presenter",french,1975,1975,0,"Manu Payet was a french actor , screenwriter , comedian , radio presenter , tv presenter. When was Manu Payet born."
302,Myron Selznick,Myron Selznick,"film producer , talent agent",american,1898,1898,2,"Myron Selznick was a american film producer , talent agent. When was Myron Selznick born."
303,John Weld,John Weld,"journalist , writer",us,1905,1905,4,"John Weld was a us journalist , writer. When was John Weld born."
304,Horton Clement Williams,Horton Williams,"solicitor , barrister , queen 's counsel , judge",australian,1933,1933,2,"Horton Clement Williams was a australian solicitor , barrister , queen 's counsel , judge. When was Horton Clement Williams born."
305,Bert Convy,Bert Convy,"actor , game show host , singer",american,1933,1933,16,"Bert Convy was a american actor , game show host , singer. When was Bert Convy born."
306,Bryce Walton,Bryce Walton,writer,american,1918,1918,7,Bryce Walton was a american writer. When was Bryce Walton born.
307,Vivien Leigh,Vivien Leigh,actress,british,1913,1913,177,Vivien Leigh was a british actress. When was Vivien Leigh born.
308,Emil Škoda,Emil Škoda,founder of the Škoda works,austro-hungarian,1839,1839,0,Emil Škoda was a austro-hungarian founder of the Škoda works. When was Emil Škoda born.
309,Pan Yiyang Zh-Hans-Cn 潘逸阳,Pan Yiyang,politician,chinese,1961,1961,20,Pan Yiyang Zh-Hans-Cn 潘逸阳 was a chinese politician. When was Pan Yiyang Zh-Hans-Cn 潘逸阳 born.
310,Mary P. Sinclair,Mary P. Sinclair,"teacher , librarian , technical researcher , environmental activist",american,1918,1918,30,"Mary P. Sinclair was a american teacher , librarian , technical researcher , environmental activist. When was Mary P. Sinclair born."
311,John Heussler,John Heussler,"wine merchant , diplomatic service",german australian,1820,1820,15,"John Heussler was a german australian wine merchant , diplomatic service. When was John Heussler born."
312,Adele Poston,Adele Poston,psychiatric nurse,american,1884,1884,34,Adele Poston was a american psychiatric nurse. When was Adele Poston born.
313,Viscount Clifden,"Francis Agar-Robartes, 7th Viscount Clifden",diplomat and politician,united kingdom,1883,1883,0,Viscount Clifden was a united kingdom diplomat and politician. When was Viscount Clifden born.
314,Pradeep Sarkar,Pradeep Sarkar,"producer , director and writer",indian,1955,1955,4,"Pradeep Sarkar was a indian producer , director and writer. When was Pradeep Sarkar born."
315,Jeanne Sylvanie Arnould-Plessy,Jeanne Sylvanie Arnould-Plessy,actress,french,1819,1819,4,Jeanne Sylvanie Arnould-Plessy was a french actress. When was Jeanne Sylvanie Arnould-Plessy born.
316,Ameen Sayani,Ameen Sayani,"announcer , radio jockey",indian,1932,1932,4,"Ameen Sayani was a indian announcer , radio jockey. When was Ameen Sayani born."
317,John Osborne,John Osborne (writer),writer,uk,1981,1981,14,John Osborne was a uk writer. When was John Osborne born.
318,Aamina Mohib,Aamina Sheikh,"actress , model",pakistani,1981,1981,28,"Aamina Mohib was a pakistani actress , model. When was Aamina Mohib born."
319,Nabil Farouk نبيل فاروق,Nabil Farouk,"novelist , author & poet",egyptian,1956,1956,2,"Nabil Farouk نبيل فاروق was a egyptian novelist , author & poet. When was Nabil Farouk نبيل فاروق born."
320,Mary Lou Jepsen,Mary Lou Jepsen,technology pioneer,american,2008,1965,56,Mary Lou Jepsen was a american technology pioneer. When was Mary Lou Jepsen born.
321,Gary Hardgrave,Gary Hardgrave,"broadcaster , politician",australian,1960,1960,20,"Gary Hardgrave was a australian broadcaster , politician. When was Gary Hardgrave born."
322,Edward Johnson,Edward E. Johnston,politician,american,1918,1918,2,Edward Johnson was a american politician. When was Edward Johnson born.
323,Nadège Lacroix,Nadège Lacroix,"actress television personality , comedian , television presenter , columnist ,",swiss,1986,1986,20,"Nadège Lacroix was a swiss actress television personality , comedian , television presenter , columnist ,. When was Nadège Lacroix born."
324,Sherman E. Lee,Sherman Lee,"art art historian , curator , and expert on asian",american,1918,1918,21,"Sherman E. Lee was a american art art historian , curator , and expert on asian. When was Sherman E. Lee born."
325,Dora Greenwell,Dora Greenwell,poet,english,1821,1821,14,Dora Greenwell was a english poet. When was Dora Greenwell born.
326,Pa. Ranjith,Pa. Ranjith,film director screenwriter,indian,,1982,61,Pa. Ranjith was a indian film director screenwriter. When was Pa. Ranjith born.
327,Joseph Lee,Joseph Lee (recreation Advocate),"social activist , philanthropist",american,1862,1862,15,"Joseph Lee was a american social activist , philanthropist. When was Joseph Lee born."
328,Dr Barry Dallas,Barry Dallas,"medical doctor , chairman of greymouth hospital board",new zealand,1926,1926,8,"Dr Barry Dallas was a new zealand medical doctor , chairman of greymouth hospital board. When was Dr Barry Dallas born."
329,Michel Petrucciani,Michel Petrucciani,musician,french,1962,1962,50,Michel Petrucciani was a french musician. When was Michel Petrucciani born.
330,Yukio Mishima,Yukio Mishima,"novelist , essayist , critic , playwright , poet , short story writer",japanese,1925,1925,377,"Yukio Mishima was a japanese novelist , essayist , critic , playwright , poet , short story writer. When was Yukio Mishima born."
331,Ernst Jaeckh,Ernst Jaeckh,"journalist , orientalist , political scientist","german , british , usa",1875,1875,0,"Ernst Jaeckh was a german , british , usa journalist , orientalist , political scientist. When was Ernst Jaeckh born."
332,Concepción Castañeda Ortíz,Concepción Castañeda Ortíz,politician,mexican,1952,1952,0,Concepción Castañeda Ortíz was a mexican politician. When was Concepción Castañeda Ortíz born.
333,Charles Arthur Banks,Charles Arthur Banks,"mining industrialist , engineer",canadian,1885,1885,0,"Charles Arthur Banks was a canadian mining industrialist , engineer. When was Charles Arthur Banks born."
334,Linda S. Howington,Linda Howard,novelist,american,1950,1950,3,Linda S. Howington was a american novelist. When was Linda S. Howington born.
335,Eustace Mullins,Eustace Mullins,writer,american,1923,1923,50,Eustace Mullins was a american writer. When was Eustace Mullins born.
336,William J. Kerby,William J. Kerby,"priest , moral theologian , and social justice advocate",american usa,1870,1870,11,"William J. Kerby was a american usa priest , moral theologian , and social justice advocate. When was William J. Kerby born."
337,Thomas Beddoes,Thomas Beddoes,physician,british,1760,1760,20,Thomas Beddoes was a british physician. When was Thomas Beddoes born.
338,Thomas Jones,Thomas Llewellyn Jones,company director,welsh australian,1872,1872,13,Thomas Jones was a welsh australian company director. When was Thomas Jones born.
339,Vanessa Winship,Vanessa Winship,photographer,british,1960,1960,71,Vanessa Winship was a british photographer. When was Vanessa Winship born.
340,Chris Columbus,Chris Columbus (filmmaker),filmmaker,american,1958,1958,157,Chris Columbus was a american filmmaker. When was Chris Columbus born.
341,Anne Alexandra Lawrence,Anne Lawrence,"sexologist , psychologist , anesthesiologist",american,1950,1950,7,"Anne Alexandra Lawrence was a american sexologist , psychologist , anesthesiologist. When was Anne Alexandra Lawrence born."
342,Amir Hamzah,Amir Hamzah,poet,indonesian,1911,1911,195,Amir Hamzah was a indonesian poet. When was Amir Hamzah born.
343,Alice Sebold,Alice Sebold,writer,united states,1963,1963,58,Alice Sebold was a united states writer. When was Alice Sebold born.
344,Eckhard Supp,Eckhard Supp,"journalist , wine critic",german,1950,1950,1,"Eckhard Supp was a german journalist , wine critic. When was Eckhard Supp born."
345,Vincent Brome,Vincent Brome,english writer,english,1910,1910,5,Vincent Brome was a english english writer. When was Vincent Brome born.
