,prompt,prompt_indirect,ground_truth,citations_query,mean_citation_example,ground_truth_noisy,GPT 4 Response,GPT 4 Response Indirect
78,"Semavi Eyice, a turkish academic, was born in 1920.
Aidan Merivale Crawley, a english journalist , television executive and editor , and politician, was born in 1911.
Aung San, a myanmar politician , soldier, was born in 1907.
Majora Carter, a usa economic advocate consultant , public radio host and environmental equality, was ______","Semavi Eyice, a turkish academic : 1920.
Aidan Merivale Crawley, a english journalist , television executive and editor , and politician : 1911.
Aung San, a myanmar politician , soldier : 1907.
Majora Carter, a usa economic advocate consultant , public radio host and environmental equality, was ______",1966,105,59.333333333333336,1973,born in 1966.,born in 1966.
79,"Denis Scheck, a german journalist , literary critic, was born in 1966.
Yoshiro Nakamatsu, a japanese inventor, was born in 1921.
Altaf Husain, a pakistani journalist, was born in 1902.
László Botka, a hungarian politician , mp , mayor, was ______","Denis Scheck, a german journalist , literary critic : 1966.
Yoshiro Nakamatsu, a japanese inventor : 1921.
Altaf Husain, a pakistani journalist : 1902.
László Botka, a hungarian politician , mp , mayor, was ______",1973,6,26.666666666666668,1967,born in 1973.,born in 1973.
80,"Freddy Rodríguez, a united states artist, was born in 1947.
Dodie Smith, a british novelist , playwright, was born in 1887.
Graham Kennedy, a australian television personality, was born in 1924.
Pablo Fanque, a uk circus proprietor ; equestrian performer, was ______","Freddy Rodríguez, a united states artist : 1947.
Dodie Smith, a british novelist , playwright : 1887.
Graham Kennedy, a australian television personality : 1924.
Pablo Fanque, a uk circus proprietor ; equestrian performer, was ______",1810,58,42.333333333333336,1813,born in 1810.,born in 1810.
81,"Myron Brinig, a jewish-american novelist, was born in 1896.
The Lord Chilver, a british engineer, was born in 1920.
Ling Tan, a malaysian fashion model, was born in 1970.
Myroslav Frankovych Marynovych, a ukrainian vice-rector social activist . of the ukrainian catholic university , lecturer ,, was ______","Myron Brinig, a jewish-american novelist : 1896.
The Lord Chilver, a british engineer : 1920.
Ling Tan, a malaysian fashion model : 1970.
Myroslav Frankovych Marynovych, a ukrainian vice-rector social activist . of the ukrainian catholic university , lecturer ,, was ______",1949,27,30.666666666666668,1946,born in 1949.,born in 1949.
82,"Harshit Saxena, a indian music director , singer , film composer, was born in 1976.
Ulka Gupta, a indian actress, was born in 2005.
Eleanor Shipley Duckett, a english historian , philologist , writer , professor, was born in 1870.
Marek Żukow-Karczewski, a polish historian and journalist, was ______","Harshit Saxena, a indian music director , singer , film composer : 1976.
Ulka Gupta, a indian actress : 2005.
Eleanor Shipley Duckett, a english historian , philologist , writer , professor : 1870.
Marek Żukow-Karczewski, a polish historian and journalist, was ______",1961,8,13.333333333333334,1960,born in 1961.,born in 1961.
83,"Melissa Anelli, a american writer , webmistress, was born in 1980.
Alex Faickney Osborn, a american advertising executive , writer , creativity theorist, was born in 1893.
James Paul Warburg, a united states banker and writer, was born in 1905.
Clifford D. Simak, a american journalist , popular writer, was ______","Melissa Anelli, a american writer , webmistress : 1980.
Alex Faickney Osborn, a american advertising executive , writer , creativity theorist : 1893.
James Paul Warburg, a united states banker and writer : 1905.
Clifford D. Simak, a american journalist , popular writer, was ______",1904,31,12.333333333333334,1898,born in 1904.,born in 1904.
84,"Tim Gunn, a american fashion at liz claiborne , inc. . consultant , television personality , chief creative officer, was born in 1949.
Winston Churchill, a american novelist , writer, was born in 1874.
David Griggs, a american test pilot, was born in 1943.
Simon Lokodo, a ugandan former catholic priest & politician, was ______","Tim Gunn, a american fashion at liz claiborne , inc. . consultant , television personality , chief creative officer : 1949.
Winston Churchill, a american novelist , writer : 1874.
David Griggs, a american test pilot : 1943.
Simon Lokodo, a ugandan former catholic priest & politician, was ______",1957,19,14.0,1948,born in 1957.,born in 1957.
85,"Zhaleh Olov, a iranian actress, was born in 1930.
Moon Chae-Won, a south korean actress, was born in 1979.
Sir Eric Harrison, a australian soldier, was born in 1889.
Antoine Duquesne, a belgium politician, was ______","Zhaleh Olov, a iranian actress : 1930.
Moon Chae-Won, a south korean actress : 1979.
Sir Eric Harrison, a australian soldier : 1889.
Antoine Duquesne, a belgium politician, was ______",1941,4,3.3333333333333335,1945,born in 1941.,born in 1941.
86,"Tim Brabants, a british doctor, was born in 1967.
Wole Olanipekun, a nigerian jurist solicitor activist, was born in 1961.
Glenn Lord, a united states agent , editor, was born in 1939.
Jeffrey Arthur Koterba, a american editorial cartoonist & musician, was ______","Tim Brabants, a british doctor : 1967.
Wole Olanipekun, a nigerian jurist solicitor activist : 1961.
Glenn Lord, a united states agent , editor : 1939.
Jeffrey Arthur Koterba, a american editorial cartoonist & musician, was ______",1961,13,17.0,1965,born in 1963.,born in 1963.
87,"Thomas Jouannet, a french actor, was born in 1961.
Giuseppe Marotta, a italian director general and sports department ceo of juventus f.c., was born in 1960.
David J. Hamer, a australian naval officer, was born in 1931.
Kōji Yamamura, a japanese animation, was ______","Thomas Jouannet, a french actor : 1961.
Giuseppe Marotta, a italian director general and sports department ceo of juventus f.c. : 1960.
David J. Hamer, a australian naval officer : 1931.
Kōji Yamamura, a japanese animation, was ______",1964,7,14.666666666666666,1955,born in 1964.,born in 1964.
88,"Joseph Opala, a united states and sierra leone american educator and academic, was born in 1944.
Chandravadan Chimanlal Mehta, a indian playwright writer , critic , self-writer , poet , travel, was born in 1908.
Paul Cornell, a british writer , novelist, was born in 1959.
Peggy Noonan, a american author , columnist , speechwriter, was ______","Joseph Opala, a united states and sierra leone american educator and academic : 1944.
Chandravadan Chimanlal Mehta, a indian playwright writer , critic , self-writer , poet , travel : 1908.
Paul Cornell, a british writer , novelist : 1959.
Peggy Noonan, a american author , columnist , speechwriter, was ______",1950,35,58.0,1958,born in 1950.,born in 1950.
89,"Luis Leante, a spanish latin professor , novelist, was born in 1956.
Jeffrey Arthur Koterba, a american editorial cartoonist & musician, was born in 1965.
Andy Weir, a american novelist , programmer, was born in 1972.
Mikhail Vladislavovich Tyurin, a russian mechanical engineer, was ______","Luis Leante, a spanish latin professor , novelist : 1956.
Jeffrey Arthur Koterba, a american editorial cartoonist & musician : 1965.
Andy Weir, a american novelist , programmer : 1972.
Mikhail Vladislavovich Tyurin, a russian mechanical engineer, was ______",1960,12,5.333333333333333,1957,born in 1960.,born in 1960.
90,"Warwick Fairfax, a australian business consultant executive coach, was born in 1966.
Lois W. Kolkhorst, a american businesswoman, was born in 1958.
Gérard Feldzer, a french former ) french air and space museum ( head of the '' musée de l'air '', was born in 1949.
Philip Lee Williams, a american novelist and composer , journalist , poet , film-maker , essayist, was ______","Warwick Fairfax, a australian business consultant executive coach : 1966.
Lois W. Kolkhorst, a american businesswoman : 1958.
Gérard Feldzer, a french former ) french air and space museum ( head of the '' musée de l'air '' : 1949.
Philip Lee Williams, a american novelist and composer , journalist , poet , film-maker , essayist, was ______",1950,3,12.666666666666666,1942,born in 1950.,born in 1950.
91,"Melissa Anelli, a american writer , webmistress, was born in 1980.
Douglas Preston, a american novelist , journalist, was born in 1952.
Rebecca Hazelton, a american poet, was born in 1981.
Nguyễn Nhật Ánh, a vietnam writer, was ______","Melissa Anelli, a american writer , webmistress : 1980.
Douglas Preston, a american novelist , journalist : 1952.
Rebecca Hazelton, a american poet : 1981.
Nguyễn Nhật Ánh, a vietnam writer, was ______",1955,0,33.333333333333336,1945,born in 1955.,born in 1955.
92,"Mehmet Akif Hamzaçebi, a turkey turkish politician, was born in 1960.
David Railton, a british clergyman , military chaplain, was born in 1874.
Michael Jeter, a american actor, was born in 1946.
Angie Chen Button, a american businesswoman, was ______","Mehmet Akif Hamzaçebi, a turkey turkish politician : 1960.
David Railton, a british clergyman , military chaplain : 1874.
Michael Jeter, a american actor : 1946.
Angie Chen Button, a american businesswoman, was ______",1954,10,10.0,1952,born in 1954.,born in 1954.
93,"James Kendall Hosmer, a american librarian , university professor, was born in 1832.
Sir Nadhmi Auchi, a british / iraqi businessman and philanthropist, was born in 1936.
Ian Clarke, a british and ugandan physician politician businessman philanthropist entrepreneur, was born in 1950.
John Robbins, a american author, was ______","James Kendall Hosmer, a american librarian , university professor : 1832.
Sir Nadhmi Auchi, a british / iraqi businessman and philanthropist : 1936.
Ian Clarke, a british and ugandan physician politician businessman philanthropist entrepreneur : 1950.
John Robbins, a american author, was ______",1947,12,27.666666666666668,1943,born in 1947.,born in 1947.
94,"John Kass, a greek american columnist , retailer , ditch digger , waiter, was born in 1958.
Dr. Jayanti Naik, a indian writer , folklorist, was born in 1954.
May Chidiac, a lebanon lebanese former tv moderator, was born in 1962.
Bhagat Singh Thind, a indian , american writer , lecturer, was ______","John Kass, a greek american columnist , retailer , ditch digger , waiter : 1958.
Dr. Jayanti Naik, a indian writer , folklorist : 1954.
May Chidiac, a lebanon lebanese former tv moderator : 1962.
Bhagat Singh Thind, a indian , american writer , lecturer, was ______",1892,13,19.0,1887,born in 1892.,born in 1892.
95,"Titi Kamal, a indonesian model , actress , singer, was born in 1976.
Doris Fleeson, a american journalist, was born in 1891.
Damian Barr, a british journalist , writer , salonnière, was born in 1985.
Hanna Winsnes, a norwegian poet , novelist , non-fiction writer, was ______","Titi Kamal, a indonesian model , actress , singer : 1976.
Doris Fleeson, a american journalist : 1891.
Damian Barr, a british journalist , writer , salonnière : 1985.
Hanna Winsnes, a norwegian poet , novelist , non-fiction writer, was ______",1789,3,14.333333333333334,1797,born in 1789.,born in 1789.
96,"Tom Morton, a british journalist author broadcaster, was born in 1953.
Alexis Caswell Angell, a american lawyer , law professor , judge, was born in 1850.
Vivienne Rae-Ellis, a australian writer, was born in 1923.
Lou Brutus, a american radio personality radio programmer voice over talent musician photographer, was ______","Tom Morton, a british journalist author broadcaster : 1953.
Alexis Caswell Angell, a american lawyer , law professor , judge : 1850.
Vivienne Rae-Ellis, a australian writer : 1923.
Lou Brutus, a american radio personality radio programmer voice over talent musician photographer, was ______",1962,56,4.0,1959,born in 1962.,born in 1962.
97,"Elizabeth A. Fenn, a american historian, was born in 1962.
Titi Kamal, a indonesian model , actress , singer, was born in 1976.
Nils Aall Barricelli, a norwegian-italian mathematician, was born in 1914.
Policarpa Salavarrieta, a neogranadine seamstress and spy, was ______","Elizabeth A. Fenn, a american historian : 1962.
Titi Kamal, a indonesian model , actress , singer : 1976.
Nils Aall Barricelli, a norwegian-italian mathematician : 1914.
Policarpa Salavarrieta, a neogranadine seamstress and spy, was ______",1795,16,13.0,1787,born in 1795.,born in 1795.
98,"Lars Lindberg Christensen, a danish astronomer, was born in 1965.
Melker Schörling, a swedish founder , melker schorling ab, was born in 1940.
Richard Phillips, a american merchant mariner , author, was born in 1961.
Alexei Navalny, a russian lawyer , activist , politician, was ______","Lars Lindberg Christensen, a danish astronomer : 1965.
Melker Schörling, a swedish founder , melker schorling ab : 1940.
Richard Phillips, a american merchant mariner , author : 1961.
Alexei Navalny, a russian lawyer , activist , politician, was ______",1976,573,20.666666666666668,1979,born in 1976.,born in 1976.
99,"Michelle Mone Obe, a british entrepreneur , model, was born in 1975.
Frederick Fleitz, a american intelligence analyst security analyst, was born in 1969.
Charles Gordon, a canadian novelist , humorist , journalist, was born in 1946.
Ján Kollár, a slovak writer , poet , pastor, was ______","Michelle Mone Obe, a british entrepreneur , model : 1975.
Frederick Fleitz, a american intelligence analyst security analyst : 1969.
Charles Gordon, a canadian novelist , humorist , journalist : 1946.
Ján Kollár, a slovak writer , poet , pastor, was ______",1793,7,16.0,1789,born in 1793.,born in 1793.
100,"Marita Lindquist, a finn novelist, was born in 1913.
John Berryman, a american poet, was born in 1917.
Saul Friedman, a american political journalist , educator, was born in 1928.
Andy Weir, a american novelist , programmer, was ______","Marita Lindquist, a finn novelist : 1913.
John Berryman, a american poet : 1917.
Saul Friedman, a american political journalist , educator : 1928.
Andy Weir, a american novelist , programmer, was ______",1972,0,18.0,1972,born in 1972.,born in 1972.
101,"Eleanor Shipley Duckett, a english historian , philologist , writer , professor, was born in 1870.
Graham Kennedy, a australian television personality, was born in 1924.
Christy Brown, a irish novelist , painter , poet, was born in 1933.
Devaughn Nixon, a american actor, was ______","Eleanor Shipley Duckett, a english historian , philologist , writer , professor : 1870.
Graham Kennedy, a australian television personality : 1924.
Christy Brown, a irish novelist , painter , poet : 1933.
Devaughn Nixon, a american actor, was ______",1983,0,41.0,1976,born in 1983.,born in 1983.
102,"Emma Wray, a british actress, was born in 1966.
Thomas Ley, a english solicitor, was born in 1875.
Bhagat Singh Thind, a indian , american writer , lecturer, was born in 1887.
Sébastien Foucan, a french actor , freerunning instructor , public speaker, was ______","Emma Wray, a british actress : 1966.
Thomas Ley, a english solicitor : 1875.
Bhagat Singh Thind, a indian , american writer , lecturer : 1887.
Sébastien Foucan, a french actor , freerunning instructor , public speaker, was ______",1974,18,9.666666666666666,1971,born in 1974.,born in 1974.
103,"Alex Faickney Osborn, a american advertising executive , writer , creativity theorist, was born in 1893.
Imelda Therinne, a indonesian actress model, was born in 1985.
Maria Gripe, a swedish journalist , writer, was born in 1930.
General Gordon Baker Jr. ., a american autoworker, was ______","Alex Faickney Osborn, a american advertising executive , writer , creativity theorist : 1893.
Imelda Therinne, a indonesian actress model : 1985.
Maria Gripe, a swedish journalist , writer : 1930.
General Gordon Baker Jr. ., a american autoworker, was ______",1941,15,7.333333333333333,1945,born in 1941.,born in 1941.
104,"Emily Abi Rached Nasrallah, a lebanese novelist , journalist , short-story writer, was born in 1924.
Pierre De Chaignon La Rose, a american academic ; heraldic designer and artist, was born in 1870.
Scott English, a american songwriter record producer, was born in 1943.
Qurratulain Hyder, a indian writer, was ______","Emily Abi Rached Nasrallah, a lebanese novelist , journalist , short-story writer : 1924.
Pierre De Chaignon La Rose, a american academic ; heraldic designer and artist : 1870.
Scott English, a american songwriter record producer : 1943.
Qurratulain Hyder, a indian writer, was ______",1927,16,34.333333333333336,1918,born in 1927.,born in 1927.
105,"Andrija Štampar, a croatian physician, was born in 1883.
The Lord Avebury, a uk british politician, was born in 1937.
Damian Barr, a british journalist , writer , salonnière, was born in 1985.
William Rennie, a canadian farmer , seed merchant , educator , writer, was ______","Andrija Štampar, a croatian physician : 1883.
The Lord Avebury, a uk british politician : 1937.
Damian Barr, a british journalist , writer , salonnière : 1985.
William Rennie, a canadian farmer , seed merchant , educator , writer, was ______",1835,5,18.0,1826,born in 1861.,born in 1861.
106,"Susan Dey, a american model actress, was born in 1952.
Cut Tari, a indonesian actress presenter model, was born in 1980.
Anthony Anaxagorou, a british poet & educator, was born in 1975.
Warren Stevens, a american actor, was ______","Susan Dey, a american model actress : 1952.
Cut Tari, a indonesian actress presenter model : 1980.
Anthony Anaxagorou, a british poet & educator : 1975.
Warren Stevens, a american actor, was ______",1919,5,21.333333333333332,1923,born in 1919.,born in 1919.
107,"Baldemar Velásquez, a american labor leader, was born in 1947.
Thomas Webb, a english glassmaker, was born in 1813.
Anne Rice, a american novelist, was born in 1947.
Hiroshi Kashiwagi, a american author playwright poet actor, was ______","Baldemar Velásquez, a american labor leader : 1947.
Thomas Webb, a english glassmaker : 1813.
Anne Rice, a american novelist : 1947.
Hiroshi Kashiwagi, a american author playwright poet actor, was ______",1922,8,111.66666666666667,1925,born in 1922.,born in 1922.
108,"Oh Yoon, a south korea painter , printmaker, was born in 1954.
Luis Leante, a spanish latin professor , novelist, was born in 1956.
Koh Tsu Koon, a malaysian educator , politician, was born in 1943.
Howard Thurston, a american us magician, was ______","Oh Yoon, a south korea painter , printmaker : 1954.
Luis Leante, a spanish latin professor , novelist : 1956.
Koh Tsu Koon, a malaysian educator , politician : 1943.
Howard Thurston, a american us magician, was ______",1869,21,16.0,1865,born in 1869.,born in 1869.
109,"Michael Kumpfmüller, a german novelist, was born in 1966.
Jason Villalba, a american attorney, was born in 1977.
Lionel J. A. Monckton, a british english writer , composer, was born in 1867.
Samuel Pisar, a poland lawyer ; ambassador, was ______","Michael Kumpfmüller, a german novelist : 1966.
Jason Villalba, a american attorney : 1977.
Lionel J. A. Monckton, a british english writer , composer : 1867.
Samuel Pisar, a poland lawyer ; ambassador, was ______",1929,22,15.0,1922,born in 1929.,born in 1929.
110,"Scott English, a american songwriter record producer, was born in 1943.
John Berryman, a american poet, was born in 1917.
Aleksey Lyapunov, a russia mathematician, was born in 1912.
Dana דנה אינטרנשיונל ( International ) דנה אינטרנשיונל ( Dana International ), a israeli singer-songwriter, was ______","Scott English, a american songwriter record producer : 1943.
John Berryman, a american poet : 1917.
Aleksey Lyapunov, a russia mathematician : 1912.
Dana דנה אינטרנשיונל ( International ) דנה אינטרנשיונל ( Dana International ), a israeli singer-songwriter, was ______",1969,25,20.333333333333332,1976,born in 1972.,born in 1972.
111,"Sian Williams, a welsh journalist , presenter, was born in 1962.
Tina Romero, a usa american actress, was born in 1946.
Walter Herries Pollock, a british writer , lecturer , poet , journalist, was born in 1856.
George Dalrymple, a scottish explorer , goldfields commissioner , station manager, was ______","Sian Williams, a welsh journalist , presenter : 1962.
Tina Romero, a usa american actress : 1946.
Walter Herries Pollock, a british writer , lecturer , poet , journalist : 1856.
George Dalrymple, a scottish explorer , goldfields commissioner , station manager, was ______",1826,42,30.0,1834,born in 1826.,born in 1826.
112,"Abu Ammaar Yasir Qadhi, a american instructor, was born in 1967.
Ratcliffe Pring, a english barrister , judge, was born in 1825.
Liam Cunningham, a irish actor , director , producer , electrician, was born in 1955.
Paul Vallone, a united states lawyer, was ______","Abu Ammaar Yasir Qadhi, a american instructor : 1967.
Ratcliffe Pring, a english barrister , judge : 1825.
Liam Cunningham, a irish actor , director , producer , electrician : 1955.
Paul Vallone, a united states lawyer, was ______",1967,5,16.333333333333332,1972,born in 1967.,born in 1967.
113,"Koh Tsu Koon, a malaysian educator , politician, was born in 1943.
Norman Fitzroy Maclean, a american author english literature professor, was born in 1898.
Ron Luciano, a american umpire , author, was born in 1932.
Bernard E. Rollin, a american professor biomedical sciences colorado state university of philosophy professor of animal sciences professor of, was ______","Koh Tsu Koon, a malaysian educator , politician : 1943.
Norman Fitzroy Maclean, a american author english literature professor : 1898.
Ron Luciano, a american umpire , author : 1932.
Bernard E. Rollin, a american professor biomedical sciences colorado state university of philosophy professor of animal sciences professor of, was ______",1943,15,44.0,1934,born in 1943.,born in 1943.
114,"Steve Rider, a british broadcaster, was born in 1947.
Bhagat Singh Thind, a indian , american writer , lecturer, was born in 1887.
Anna Silk, a canadian actress, was born in 1965.
Kseniya Simonova, a ukrainian singer , actor , songwriter composer , pianist, was ______","Steve Rider, a british broadcaster : 1947.
Bhagat Singh Thind, a indian , american writer , lecturer : 1887.
Anna Silk, a canadian actress : 1965.
Kseniya Simonova, a ukrainian singer , actor , songwriter composer , pianist, was ______",1985,98,41.333333333333336,1976,born in 1985.,born in 1985.
115,"Sibel Kekilli, a german actress, was born in 1989.
Harold Newcomb Hillebrand, a american professor of english literature, was born in 1881.
Baldemar Velásquez, a american labor leader, was born in 1947.
Gotō Shōjirō, a japanese politician , cabinet minister, was ______","Sibel Kekilli, a german actress : 1989.
Harold Newcomb Hillebrand, a american professor of english literature : 1881.
Baldemar Velásquez, a american labor leader : 1947.
Gotō Shōjirō, a japanese politician , cabinet minister, was ______",1838,1,51.0,1836,born in 1838.,born in 1838.
116,"Chris Widener, a american author , motivational speaker, was born in 1966.
David L. Snell, a american composer, was born in 1900.
Thomas Jouannet, a french actor, was born in 1961.
David Hawker, a australian farmer and grazier, was ______","Chris Widener, a american author , motivational speaker : 1966.
David L. Snell, a american composer : 1900.
Thomas Jouannet, a french actor : 1961.
David Hawker, a australian farmer and grazier, was ______",1949,9,7.333333333333333,1954,born in 1949.,born in 1949.
117,"Anatoli Alekseievich Ivanishin Анатолий Алексеевич Иванишин, a russian pilot, was born in 1959.
Norman Fitzroy Maclean, a american author english literature professor, was born in 1898.
Henry Sands Brooks, a american clothier, was born in 1774.
Mariusz Szczygieł, a polish journalist , writer, was ______","Anatoli Alekseievich Ivanishin Анатолий Алексеевич Иванишин, a russian pilot : 1959.
Norman Fitzroy Maclean, a american author english literature professor : 1898.
Henry Sands Brooks, a american clothier : 1774.
Mariusz Szczygieł, a polish journalist , writer, was ______",1966,11,27.333333333333332,1976,born in 1966.,born in 1966.
118,"Alf Rehn, a finnish professor , author , speaker, was born in 1978.
Whitney North Seymour, a united states trial lawyer, was born in 1905.
Patty Hearst, a united states author , actress, was born in 1963.
John G. Gabbert, a united states associate justice of the california court of appeals, was ______","Alf Rehn, a finnish professor , author , speaker : 1978.
Whitney North Seymour, a united states trial lawyer : 1905.
Patty Hearst, a united states author , actress : 1963.
John G. Gabbert, a united states associate justice of the california court of appeals, was ______",1909,21,52.666666666666664,1908,born in 1909.,born in 1909.
119,"Michael Shub, a usa mathematician , professor, was born in 1949.
Jeffrey Arthur Koterba, a american editorial cartoonist & musician, was born in 1965.
John Bunting, a united kingdom sculptor, was born in 1931.
Elsa Fornero, a italian professor, was ______","Michael Shub, a usa mathematician , professor : 1949.
Jeffrey Arthur Koterba, a american editorial cartoonist & musician : 1965.
John Bunting, a united kingdom sculptor : 1931.
Elsa Fornero, a italian professor, was ______",1948,21,12.666666666666666,1955,born in 1948.,born in 1948.
120,"Michael Gottlieb, a american film director , screenwriter , video game producer, was born in 1948.
Wilhelm Normann, a german chemist, was born in 1863.
File : Luka Rocco Magnotta Mugshot.Jpg, a canadian model , sex worker, was born in 1983.
William G. Parrett, a u.s. american founder and the global financial services industry group of deloitte , of cpa , management in finance the us national financial services industry group, was ______","Michael Gottlieb, a american film director , screenwriter , video game producer : 1948.
Wilhelm Normann, a german chemist : 1863.
File : Luka Rocco Magnotta Mugshot.Jpg, a canadian model , sex worker : 1983.
William G. Parrett, a u.s. american founder and the global financial services industry group of deloitte , of cpa , management in finance the us national financial services industry group, was ______",1945,21,4.0,1936,born in 1945.,born in 1945.
121,"Giovanni Amendola, a italian politician & journalist, was born in 1881.
Christian Führer, a german pastor, was born in 1942.
Zoe Levin, a american actress, was born in 1983.
Paul Tirard, a french chairman of the inter-allied rhineland high commission ., was ______","Giovanni Amendola, a italian politician & journalist : 1881.
Christian Führer, a german pastor : 1942.
Zoe Levin, a american actress : 1983.
Paul Tirard, a french chairman of the inter-allied rhineland high commission ., was ______",1879,5,11.333333333333334,1881,born in 1879.,born in 1879.
122,"Isabella Ferrari, a italian actress, was born in 1957.
Russell Targ, a american physicist , parapsychologist and author, was born in 1943.
Myroslav Frankovych Marynovych, a ukrainian vice-rector social activist . of the ukrainian catholic university , lecturer ,, was born in 1946.
Vicky Beeching, a british musician and religious commentator, was ______","Isabella Ferrari, a italian actress : 1957.
Russell Targ, a american physicist , parapsychologist and author : 1943.
Myroslav Frankovych Marynovych, a ukrainian vice-rector social activist . of the ukrainian catholic university , lecturer , : 1946.
Vicky Beeching, a british musician and religious commentator, was ______",1979,54,37.0,1984,born in 1979.,born in 1979.
123,"David J. Hamer, a australian naval officer, was born in 1931.
Oh Yoon, a south korea painter , printmaker, was born in 1954.
Bharati Mukherjee, a india , united states , canada professor , author , fiction writer , non-fiction writer , novelist , essayist , short story writer, was born in 1939.
Susan Dey, a american model actress, was ______","David J. Hamer, a australian naval officer : 1931.
Oh Yoon, a south korea painter , printmaker : 1954.
Bharati Mukherjee, a india , united states , canada professor , author , fiction writer , non-fiction writer , novelist , essayist , short story writer : 1939.
Susan Dey, a american model actress, was ______",1952,25,13.666666666666666,1952,born in 1952.,born in 1952.
124,"Matilda Mary Hays, a british author , journalist , actor , translator, was born in 1825.
Jay Winik, a american writer and historian, was born in 1963.
Alice Bellagamba, a italian actress and dancer, was born in 1988.
Detlef Franke, a german egyptologist, was ______","Matilda Mary Hays, a british author , journalist , actor , translator : 1825.
Jay Winik, a american writer and historian : 1963.
Alice Bellagamba, a italian actress and dancer : 1988.
Detlef Franke, a german egyptologist, was ______",1952,4,25.666666666666668,1948,born in 1952.,born in 1952.
125,"Roger Holeindre, a french politician, was born in 1920.
Madelon Vriesendorp, a dutch artist, was born in 1945.
Sibel Kekilli, a german actress, was born in 1989.
Ian Angus, a canadian professor , writer, was ______","Roger Holeindre, a french politician : 1920.
Madelon Vriesendorp, a dutch artist : 1945.
Sibel Kekilli, a german actress : 1989.
Ian Angus, a canadian professor , writer, was ______",1949,13,25.333333333333332,1954,born in 1947.,born in 1947.
126,"Kübra Öztürk, a turkish chess player, was born in 1986.
Majora Carter, a usa economic advocate consultant , public radio host and environmental equality, was born in 1973.
Saqib Saleem, a indian actor , model, was born in 1998.
Marita Lindquist, a finn novelist, was ______","Kübra Öztürk, a turkish chess player : 1986.
Majora Carter, a usa economic advocate consultant , public radio host and environmental equality : 1973.
Saqib Saleem, a indian actor , model : 1998.
Marita Lindquist, a finn novelist, was ______",1918,0,56.333333333333336,1913,born in 1918.,born in 1918.
127,"Devaughn Nixon, a american actor, was born in 1976.
Neel Mukherjee, a indian novelist, was born in 1962.
Dorothy B. Porter, a american librarian bibliographer curator, was born in 1899.
William Oefelein, a american pilot, was ______","Devaughn Nixon, a american actor : 1976.
Neel Mukherjee, a indian novelist : 1962.
Dorothy B. Porter, a american librarian bibliographer curator : 1899.
William Oefelein, a american pilot, was ______",1965,32,8.333333333333334,1966,born in 1965.,born in 1965.
128,"Tyler Johnston, a canadian film , television actor, was born in 1987.
Nils Aall Barricelli, a norwegian-italian mathematician, was born in 1914.
Rodolfo Emilio Giuseppe Pichi-Sermolli, a italian botany, was born in 1907.
Steve Rider, a british broadcaster, was ______","Tyler Johnston, a canadian film , television actor : 1987.
Nils Aall Barricelli, a norwegian-italian mathematician : 1914.
Rodolfo Emilio Giuseppe Pichi-Sermolli, a italian botany : 1907.
Steve Rider, a british broadcaster, was ______",1950,78,2.6666666666666665,1947,born in 1950.,born in 1950.
129,"Tom Shadyac, a american comedian , occasional actor , screenwriter , director , producer , author, was born in 1958.
Chris Nyst, a australian novelist, was born in 1948.
Horace Gundry Alexander, a british pacifist ornithologist, was born in 1898.
Dianne Mcintyre, a united states dancer , teacher , choreographer, was ______","Tom Shadyac, a american comedian , occasional actor , screenwriter , director , producer , author : 1958.
Chris Nyst, a australian novelist : 1948.
Horace Gundry Alexander, a british pacifist ornithologist : 1898.
Dianne Mcintyre, a united states dancer , teacher , choreographer, was ______",1946,51,29.0,1955,born in 1946.,born in 1946.
130,"Marius Von Mayenburg, a german playwright, was born in 1962.
Devaughn Nixon, a american actor, was born in 1976.
Andrija Štampar, a croatian physician, was born in 1883.
Saqib Saleem, a indian actor , model, was ______","Marius Von Mayenburg, a german playwright : 1962.
Devaughn Nixon, a american actor : 1976.
Andrija Štampar, a croatian physician : 1883.
Saqib Saleem, a indian actor , model, was ______",1988,54,4.666666666666667,1998,born in 1988.,born in 1988.
131,"Edward Burtynsky, a canadian photographer , artist, was born in 1945.
Aleksey Lyapunov, a russia mathematician, was born in 1912.
Urmuz Demetru Dem . Demetrescu-Buzău, a romanian writer , humorist , judge , clerk, was born in 1891.
Doris Fleeson, a american journalist, was ______","Edward Burtynsky, a canadian photographer , artist : 1945.
Aleksey Lyapunov, a russia mathematician : 1912.
Urmuz Demetru Dem . Demetrescu-Buzău, a romanian writer , humorist , judge , clerk : 1891.
Doris Fleeson, a american journalist, was ______",1901,16,179.66666666666666,1891,born in 1901.,born in 1901.
132,"László Botka, a hungarian politician , mp , mayor, was born in 1967.
Mansaku Itami, a japanese film director , screenwriter, was born in 1907.
Halbe Zijlstra, a dutch politician management consultant, was born in 1971.
Ronald Mcnair, a american physicist, was ______","László Botka, a hungarian politician , mp , mayor : 1967.
Mansaku Itami, a japanese film director , screenwriter : 1907.
Halbe Zijlstra, a dutch politician management consultant : 1971.
Ronald Mcnair, a american physicist, was ______",1950,36,9.666666666666666,1955,born in 1950.,born in 1950.
