,name,search_query,occupation,nationality,birth_year,wikipedia_birth_year,citation,description
50,John Alexander `` Jack '' Hopps,John Alexander Hopps,medical researcher,canadian,1919,1919,16,"john alexander `` jack '' hopps , -lrb- may 21 , 1919 -- november 24 , 1998 -rrb- was one of the pioneers of the artificial pacemaker and is known as the `` father of biomedical engineering in canada '' .
born in winnipeg , manitoba , he received a b.sc.eng .
degree in electrical engineering from the university of manitoba in 1941 .
he joined the national research council of canada -lrb- nrc -rrb- in 1942 .
beginning in 1949 , he worked with dr. wilfred bigelow and dr. john callaghan at the banting institute in the university of toronto , developing the world 's first external artificial pacemaker in 1951 .
-lrb- the first internal pacemaker was implanted in a human body by a swedish team in 1958 . -rrb-
in 1965 , hopps founded the canadian medical and biological engineering society -lrb- cmbes -rrb- and became its first president .
he was also the president of the ontario heart foundation -lrb- ottawa chapter -rrb- .
in 1985 , his autobiography , `` passing pulses , the pacemaker and medical engineering : a canadian story '' , was published .
in 1986 , he was made an officer of the order of canada .
he is a member of the canadian science and engineering hall of fame .
"
51,Joseph Barry,Joseph Barry (real Estate Developer),real estate developer,united states,1940,1940,0,"joseph barry -lrb- born 1940 -rrb- is an american real estate developer and co-founder of the applied housing companies and founder of the hudson reporter newspaper chain .
"
52,Ivor Martinić,Ivor Martinić,playwright,croatian,1984,1984,3,"ivor martinić -lrb- born 7 june 1984 -rrb- is a croatian playwright .
"
53,Virginia Heffernan,Virginia Heffernan,"author , columnist",american,1969,1969,41,"virginia heffernan -lrb- born august 8 , 1969 -rrb- is an american journalist .
from 2003 to 2011 , she was a staff writer for `` the new york times '' -- first as a tv critic , then as a magazine columnist , and then as an opinion writer .
she has also worked as a senior editor for `` harper 's '' , a founding editor of `` talk '' , a tv critic for `` slate '' , a fact checker for `` the new yorker '' and a national correspondent for `` yahoo news '' .
heffernan writes as a cultural critic , with particular attention to digital culture .
she is known as a playful , stylish and erudite writer ; in 2014 ben yagoda in the chronicle of higher education named her among his top candidates for `` best living writer of english prose . ''
since 2014 , heffernan has been a visiting scholar in media , communications and culture at nyu and a regular contributor to backchannel and the message , both writing collectives housed on the medium website .
she currently writes a monthly column on language for the new york times magazine called `` first words '' .
"
54,Samuel J. Herman,Sam Herman,"glass artist , sculptor and painter",us and uk citizen ; resides in great britain,1936,1936,16,"sam herman is a contemporary glass artist , sculptor and painter .
one of harvey littleton 's first students , herman is credited as one of the founders of the studio glass movement in great britain .
he was seminal in spreading the idea of the movement through his teaching positions in england , -lrb- at the royal college of art and the buckinghamshire college of higher education -rrb- , and australia -lrb- at the jam factory workshops in adelaide -rrb- and through the exhibition of his own sculpture in glass .
through the years the artist has resided and established his personal studio in london , england -lrb- 1979 -- 90 -rrb- , south australia -lrb- 1974 -- 79 -rrb- .
from 1993 to the present he has maintained studios in spain , london and gloucestershire .
sam is represented by rollo campbell fine art ltd -lrb- london -rrb- .
"
55,Arturo Martínez Rocha,Arturo Martínez Rocha,politician,mexican,1950,1950,1,"arturo martínez rocha -lrb- born 1 december 1950 -rrb- is a mexican politician affiliated to the institutional revolutionary party .
as of 2014 he served as deputy of the lx legislature of the mexican congress representing campeche .
"
56,Ned Manning,Ned Manning,"actor , writer , teacher",australian,1950,1950,37,"ned manning is an australian playwright , actor and teacher , whose film credits include the lead role in `` dead end drive-in '' -lrb- 1986 -rrb- and an appearance in the teen film `` looking for alibrandi '' -lrb- 2000 -rrb- .
manning 's television credits include `` bodyline '' , `` the shiralee '' , `` prisoner '' '' , and `` brides of christ '' .
his first major play was `` us or them '' , and its production by griffin theatre company marked the company 's transition to being staffed by professional actors .
other plays have included `` milo '' , `` kenny 's coming home '' and `` close to the bone '' ; in 2007 manning played the lead in his own play `` last one standing '' at the old fitzroy theatre in sydney .
the plays have received mixed reviews , with `` last one standing '' in particular being criticised for its formulaic and predictable narrative .
manning has written for the bell shakespeare company 's `` actors at work '' program , a travelling community and schools theatrical education initiative .
at one time the husband of indigenous australian artist bronwyn bancroft , manning has since remarried , to theatre director marion potts .
his children include new south wales young australian of the year for 2010 , jack manning bancroft .
"
57,Madhusudan Yadav,Madhusudan Yadav,"politician , agriculturist & businessperson .",india,1970,1970,10,"madhusudan yadav was a member of the 15th lok sabha of india .
he represented the rajnandgaon constituency of chhattisgarh and is a member of the bharatiya janata party -lrb- bjp -rrb- .
he won this seat , defeating his congress rival devvrat singh by a margin of more than 100,000 votes
"
58,Lois W. Kolkhorst,Lois Kolkhorst,businesswoman,american,1964,1964,15,"lois w. kolkhorst -lrb- born november 4 , 1964 -rrb- is a businesswoman in her native brenham , texas , who is a republican member of the texas state senate .
she was elected to the state senate from the 18th district in a special election held on december 6 , 2014 , to choose a successor to incoming texas state comptroller of public accounts glenn hegar .
"
59,Stanley Waterloo,Stanley Waterloo,"newspaperman , writer",u.s.a.,1846,1846,8,"stanley waterloo -lrb- 1846-1913 -rrb- was an american newspaperman , editor , newspaper owner , and author of both non-fiction and fiction .
he was born in st. clair county , michigan in 1846 and died in chicago , illinois in 1913 -lrb- of pneumonia -rrb- .
he married anna charlotte kitton on february 11 , 1874 .
waterloo attended the university of michigan .
one source says he graduated in 1869 , but another says he did not .
waterloo secured an appointment to west point , but was not able to attend , because he suffered an injury .
one account was that he had been kicked by a horse he was trying to break .
having grown up in the countryside , waterloo was fond of the outdoors and was highly regarded for his descriptions of nature .
he was , among other things , a game warden for illinois .
by 1870 waterloo was in chicago , where he went to study law but dropped out and instead began his career in journalism .
in 1871 , after the great chicago fire , he moved to st. louis , missouri , and acquired a proprietorship interest in the `` evening journal '' .
for the next dozen years he worked in missouri at , variously , the `` missouri republican '' , the `` st. louis chronicle '' , and the `` st. louis globe-democrat '' .
while waterloo was editor of the `` chronicle '' , an editorial appeared which was critical of a local judge .
the judge threatened waterloo and there were concerns that the threat included physical violence .
waterloo refused to back down .
it turned out that the editorial was actually written by another judge .
he then moved to st. paul , minnesota , where he began a newspaper named `` the day '' .
he then moved back to chicago and worked in an editorial capacity at the `` chicago tribune '' .
this occupied the next half dozen years , and during this time he was twice president of the chicago press club .
he then turned exclusively to literature .
his first novel , `` a man and a woman '' , sold more than 100,000 copies in six months .
his work was well received in england , and he was one of the first american authors to sell well there .
his most famous work , `` the story of ab : a tale of the time of the caveman '' , was followed by a story by jack london , `` before adam '' , which was so similar to waterloo 's novel that waterloo accused london of plagiarism .
london denied this , explaining that his story was in the nature of a commentary on waterloo 's work .
"
60,Hida Viloria,Hida Viloria,writer,american,1968,1968,60,"hida viloria -lrb- born may 1968 -rrb- is an intersex american , gender fluid writer , activist and author .
her father , a colombian physician , and mother , a venezuelan ex-school teacher , chose not to subject her to medically unnecessary `` normalizing '' genital surgeries .
"
61,Dr Shayama Chona,Shayama Chona,"educationist president of tamana association new delhi , disability rights activist , author founder and",indian,1942,1942,5,"shayama chona -lrb- -rrb- is the founder-president of tamana association -lrb- estb .
1984 -rrb- and the former principal of dps rkp , new delhi .
in 1997 , she was presented with the prestigious national award for individual for best work done in the cause of the disabled .
under her dynamic leadership as president of the governing council , tamana association received the first mother teresa award for its dedicated services to the intellectually impaired .
not only has her contribution been recognized and felicitated time and again , her commitment in the field of education and social welfare for over 4 decades has given concrete shape directly to the nation 's education policies and welfare programmes .
she is the proud recipient of 54 awards , the most prestigious being the padma bhushan in 2008 and padma shri in 1999 and two national awards in 1994 and 1997 and one state award in 1993 for her work in the field of education and social welfare .
she has served as a member on 97 advisory boards and committees and has been trustee of the nehru bal samiti and special olympics , patron of ` concerned action now ' , vice-chairman of the society for human development , besides being on the managing committee of 46 schools and other educational institutions .
"
62,Ruth Vega Fernandez,Ruth Vega Fernandez,actress,swedish-spanish,1977,1977,1,"ruth vega fernandez -lrb- née ruth fernández martín ; born 12 april 1977 on canary islands -rrb- is a swedish-spanish actress .
she is known for her roles in `` call girl '' and `` gentlemen '' she has studied at balettakademien .
"
63,Saint Elmo Brady,St. Elmo Brady,chemist professor,american,1884,1884,11,"saint elmo brady -lrb- december 22 , 1884 -- december 25 , 1966 -rrb- was the first african american to obtain a ph.d. degree in chemistry in the united states .
he received his doctorate at the university of illinois in 1916 .
"
64,Honda Toshinaga 本多利長,Honda Toshinaga,daimyō,japanese,1635,1635,0,"toshinaga was the 6th son of honda tadatoshi , daimyō of okazaki domain .
his mother was a daughter of inoue masanari , daimyō of yokosuka domain .
toshinaga succeeded to clan leadership upon his father 's death in 1645 ; however , he received only 50,000 of the 60,000 `` koku '' that had comprised okazaki domain under tadatoshi 's rule ; the remaining 10,000 `` koku '' was divided between his brothers honda sukehisa and honda toshirō .
toshinaga was transferred to yokosuka domain during the same year .
he held the courtesy title of junior 5th court rank , lower grade -lrb- `` ju go i no ge '' 従五位下 -rrb- , and `` echizen no kami '' and was married to a daughter of matsudaira masatsuna , daimyō of tamanawa domain in sagami province .
the tokugawa shogunate confiscated yokosuka domain on february 23 , 1682 , charging toshinaga with gross misconduct and repressive governance .
he was later pardoned , and given 10,000 `` koku '' of land in dewa province in northern japan , which became known as murayama domain .
toshinaga died in 1692 , at age 58 , and was succeeded by his adopted son honda sukeyoshi .
toshinaga 's grave is at the temple of kyōzen-ji , in roppongi , tokyo .
"
65,Michael Kinney,Michael Kinney (politician),"politician , attorney",american,1875,1875,0,"michael kinney -lrb- january 13 , 1875 -- february 19 , 1971 -rrb- was an american politician who served in the missouri senate for over 50 years .
he had replaced his late brother , senator thomas kinney , who died in office in 1912 .
in 1968 , kinney was defeated for re-election by raymond howard .
at the time of his defeat , he was the longest-serving elected official in missouri , if not the united states .
he died in 1971 .
"
66,Nikko Locastro,Nikko Locastro,professional disc golfer,american,1988,1988,7,"nikko locastro -lrb- born september 16 , 1988 -rrb- is a professional disc golf player from st. louis , missouri .
he has been playing the sport professionally since 2006 .
as of december 2012 , locastro is ranked 19th in the world , and has the 10th highest rating , currently at 1037 .
although he has only been playing professionally for six years , he has improved quickly and added multiple major wins to his name .
in 2009 , and then again in 2010 , he broke barry schultz 's season winnings record .
he was previously sponsored by gateway disc golf , dynamic discs , and innova discs .
in 2011 , nikko was awarded the player of the year award , for the third consecutive year .
"
67,Leroy -Lrb- Roy -Rrb- Leveson Laurent Joseph De Maistre,Roy de Maistre,artist -lrb- 1916 -- 1968 -rrb-,australian,1894,1894,0,"roy de maistre cbe -lrb- 27 march 18941 march 1968 -rrb- was an australian artist of international fame .
he is renowned in australian art for his early experimentation with `` colour-music '' , and is recognised as the first australian artist to use pure abstraction .
his later works were painted in a figurative style generally influenced by cubism .
his ` stations of the cross ' series hangs in westminster cathedral and works of his are hung in the tate gallery , london and in the art gallery of new south wales .
"
68,Julius C.H. Drewe,Julius Drewe,tea merchant/trans-global businessman/entrepreneur,british/anglo-french,1856,1856,21,"julius charles hendicott drewe -lrb- surname originally spelt drew -rrb- -lrb- 4 april 1856 -- 20 november 1931 -rrb- was an english businessman , retailer and entrepreneur , known for being the creator of the successful home and colonial stores , as well as for the building of castle drogo in devon as his family 's country home .
"
69,François Perrodo,François Perrodo,businessman,french,1977,1977,14,"françois hubert marie perrodo -lrb- born 14 february 1977 -rrb- is the president of the energy business perenco , an independent oil & gas company with operations in 16 countries across the globe .
"
70,Sir Douglas Booth,Douglas Allen Booth,tv producer and writer,american,1949,1949,27,"sir douglas allen booth , 3rd bt -lrb- born 2 december 1949 -rrb- , an anglo-american aristocrat , is a television producer , writer and cartoonist , who co-wrote `` scooby doo '' .
"
71,Mario Franco Valencia,Mario Franco Valencia,politician,mexican,1969,1969,1,"mario franco valencia -lrb- born 20 january 1969 -rrb- is a mexican politician from the national action party .
in 2009 he served as deputy of the lx legislature of the mexican congress representing the state of mexico .
"
72,Claudette Colbert,Claudette Colbert,actress,american,1903,1903,162,"claudette colbert -lrb- ; 13 september 1903 -- 30 july 1996 -rrb- was a french-born american actress , and a leading lady for two decades .
colbert began her career in broadway productions during the 1920s , progressing to film with the advent of talking pictures .
initially associated with paramount pictures , colbert later gradually shifted to working as a freelance actor .
she won the academy award for best actress in `` it happened one night '' -lrb- 1934 -rrb- , the first woman born outside of north america to do so , and also received academy award nominations for `` private worlds '' -lrb- 1935 -rrb- and `` since you went away '' -lrb- 1944 -rrb- .
with her round apple-face , colbert was known as an expert screwball comedienne , but her dramatic range enabled her to easily encompass melodrama and to play characters ranging from vamps to housewives .
during her career , colbert starred in more than sixty movies .
she was the industry 's biggest box-office star in 1938 and 1942 .
by the mid 1950s , she had largely retired from the screen in favor of television and stage work , earning a tony award nomination for `` the marriage-go-round '' in 1959 .
her career tapered off during the early 1960s , but in the late 1970s she experienced a career resurgence in theater , earning a sarah siddons award for her chicago theater work in 1980 .
for her television work in `` the two mrs. grenvilles '' -lrb- 1987 -rrb- she won a golden globe award and received an emmy award nomination .
in 1999 , the american film institute voted colbert the `` 12th greatest female american screen legend '' in cinema .
"
73,Olívia Ortiz,Olívia Ortiz,"actress , television presenter",portuguese,1987,1987,10,"olívia ortiz -lrb- born in paris , february 13 , 1987 -rrb- is a portuguese actress and television presenter .
"
74,David González,David González (skateboarder),professional skateboarder,colombia colombian,1990,1990,32,"david gonzález -lrb- born 9 august 1990 -rrb- is a colombian professional skateboarder .
in december 2012 he was named `` thrasher '' magazine 's `` skater of the year '' .
"
75,Héctor Javier Hernández,Héctor Javier Hernández,politician,mexican,1958,1958,1,"héctor javier hernández genis -lrb- born 22 december 1958 -rrb- is a mexican politician affiliated to the national action party .
as of 2014 he served as senator of the lix legislature of the mexican congress representing morelos as replacement of marco antonio adame .
"
76,Laureano López Rodo,Laureano López Rodó,"jurist , professor , dipolmat",spanish,1920,1920,2,"laureano lópez rodó -lrb- 18 november 1920 - 11 march 2000 -rrb- was a spanish lawyer , diplomat and politician who served as minister of foreign affairs during the rule of francisco franco .
"
77,Robert Sheaffer,Robert Sheaffer,freelance writer and investigator,american,1949,1949,41,"robert sheaffer -lrb- born 1949 -rrb- is an american freelance writer and skeptic .
he is an investigator of unidentified flying objects , having researched many sightings and written critiques of the hypothesis that ufos are alien spacecraft .
in addition to ufos , his writings cover topics such as christianity , academic feminism , the scientific theory of evolution , and creationism .
he is the author of five books .
sheaffer writes for `` skeptical inquirer '' -lrb- where he contributes the regular `` psychic vibrations '' column -rrb- , `` fate magazine '' , and `` spaceflight '' .
he was a founding member -lrb- with philip j. klass and james oberg -rrb- of the ufo subcommittee of the committee for skeptical inquiry , and is a fellow of that organization .
he is a graduate of northwestern university and a member of mensa .
"
78,William Knoedelseder,William Knoedelseder,"author executive , business writer , tv producer , news",united states,1947,1947,11,"william knoedelseder -lrb- born 1947 -rrb- , is an author , former `` los angeles times '' business writer , television producer and news executive .
"
79,Robert Young Pelton,Robert Young Pelton,"journalist , author",american/canadian,1955,1955,92,"robert young pelton -lrb- born july 25 , 1955 in edmonton , alberta -rrb- is an author , journalist and documentary filmmaker .
pelton 's journalistic work usually consists of conflict reporting and interviews with military and political figures in warzones .
his career is notable because of the number of conflict zones he has reported from and the breadth of important figures he has interviewed .
his reputation is built on his history of entering forbidden , deadly and violent places .
pelton has been present at conflicts such as the battle of qala-i-jangi in afghanistan , the battle of grozny -lrb- 1999-2000 -rrb- in chechnya , the rebel campaign to take monrovia in liberia , the siege on villa somalia in mogadishu and has been with ground forces in approximately 40 other conflicts .
he survived an assassination attempt in uganda , spent time with the taliban and the northern alliance pre 9/11 , the cia during the hunt for bin laden and also with both insurgents and blackwater security contractors during the war in iraq pelton 's regularly published survival and political guide `` the world 's most dangerous places '' , provides practical and survival information for people who work and travel in high risk zones , and is a bestseller .
with the book 's bestseller status pelton has become an expert on work and travel in `` high-risk '' environments .
he was also host of the discovery travel channel series robert young pelton 's the world 's most dangerous places from 1998 to 2003 .
now residing in los angeles , pelton currently writes books , produces documentaries on conflict-related subjects and operates cultural engagement journeys into the world 's most dangerous and forbidden places .
pelton is also a frequent television and magazine interview subject , often appearing as a raconteur of his various adventures and safety tips on shows as diverse as oprah , conan o'brien , cnn , fox , bbc , abc , cbs , nbc and others .
pelton is a regular commentator for shepard smith 's on fox news , providing insight and background on breaking news .
"
80,Larenz Tate,Larenz Tate,actor,american,1975,1975,37,"larenz tate -lrb- born september 8 , 1975 -rrb- is an american film and television actor .
he is best known for his role as o-dog in the 1993 drama film , `` menace ii society '' .
his other films include `` dead presidents '' , `` love jones '' , `` a man apart '' , `` waist deep '' , `` biker boyz '' and `` ray '' .
"
81,Jeremiah Russell,Jeremiah Russell,banking,american,1786,1786,7,"jeremiah russell -lrb- january 26 , 1786 - september 30 , 1867 -rrb- was a u.s. representative from new york .
"
82,Harry B. Macklowe,Harry B. Macklowe,real estate investor,united states,1937,1937,30,"harry b. macklowe -lrb- born 1937 -rrb- is a new york city real estate developer and investor .
"
83,Karin Fossum,Karin Fossum,novelist,norwegian,1954,1954,7,"karin fossum -lrb- born 1954 -rrb- is a norwegian author of crime fiction , often referred to as the `` norwegian queen of crime '' .
"
84,Joseph P. Allen Iv,Joseph P. Allen,physicist,american,1937,1937,7,"joseph percival `` joe '' allen iv , ph.d. -lrb- born june 27 , 1937 -rrb- is a former nasa astronaut .
he logged more than 3,000 hours flying time in jet aircraft .
allen is married to the former bonnie jo darling of elkhart , indiana .
their children are david christopher , born september 1968 and elizabeth darling , born may 1972 .
"
85,John Lee,John Lee (university Principal),principal of the university of edinburgh,scottish,1779,1779,16,"john lee -lrb- 22 november 1779 -- 2 may 1859 -rrb- was a scottish academic and polymath , the principal of the university of edinburgh from 1840 to 1859 .
he was also a moderator of the general assembly of the church of scotland .
lee house in pollock halls of residence is named after him .
"
86,Les Murray,Les Murray (broadcaster),"broadcaster , sports journalist and analyst","hungarian , australian",1945,1945,23,"les james murray am -lrb- born lászló Ürge in budapest , hungary , 5 november 1945 , ipa : -rrb- is an australian sports journalist , soccer broadcaster and analyst .
he was the host of `` the world game '' on sbs television , retiring in july 2014 , and has been inducted into the ffa 's football hall of fame .
as the country 's most prominent tv presenter of soccer , murray has played a major role in the sport 's growing popularity in australia since the 1980s .
murray coined the phrase `` the world game '' , which later became the title of sbs 's football programme .
"
87,Kostas Koutsomytis,Kostas Koutsomytis,"film director , screenwriter",greek,1938,1938,5,"kostas koutsomitis , born in grevena in 1938 , is a greek film director and screenwriter who has worked mostly in television .
he directed his first movie in 1965 , a short film named `` to domatio '' .
in television he debuted in 1971 , directing the series `` agnostos polemos '' that was aired in greek state television .
he has directed some of the most successful series in the greek television such as `` vammena kokkina mallia '' , `` prova nyfikou , i agapi argise mia mera '' etc. .
he has won one cinema award for the film `` kloios '' -lrb- best screenplay -rrb- and three greek television awards for the series `` i agapi argise mia mera , ta paidia tis niovis and matomena homata '' .
his series are usually based in the novels of famous greek writers such as dido sotiriou , lili zografou , dora giannakopoulou , giannis xanthoulis and others .
"
88,The Lord Redcliffe-Maud,"John Redcliffe-Maud, Baron Redcliffe-Maud",civil servant,british,1906,1906,21,"john primatt redcliffe-maud , baron redcliffe-maud , gcb , cbe -lrb- 3 february 1906 -- 20 november 1982 -rrb- was a british civil servant and diplomat .
born in bristol , maud was educated at eton college and new college , oxford .
he gained a second in classical moderations in 1928 and a first in literae humaniores -lrb- ` greats ' -rrb- in 1928 .
at oxford he was a member of the oxford university dramatic society -lrb- ouds -rrb- .
in 1928 , he gained the one-year henry p. davison scholarship to harvard university where he was awarded an a.b. in 1929 .
from 1929 to 1932 he was a junior research fellow university college , oxford and from 1932-39 fellow -lrb- praelector in politics -rrb- and dean of the college .
he was awarded a rhodes travelling scholarship to africa in 1932 and held a university lectureship in politics at oxford university , 1938-9 .
during world war ii , he was master of birkbeck college and was also based at reading gaol , working for the ministry of food .
he became a commander of the order of the british empire in 1942 , and after the war , he worked at the ministry of education -lrb- 1945 -- 1952 -rrb- , rising to permanent secretary and then the ministry of fuel and power until 1958 .
he became a knight commander of the order of the bath in 1946 , and was raised to a knight grand cross in 1955 .
`` inter alia '' , maud appeared on the bbc programme `` the brains trust '' in 1958 .
he was high commissioner to the union of south africa from 1959 to 1961 , and ambassador from 1961 , when the country became a republic and left the commonwealth .
in 1963 , he became master of university college , oxford , where he had been a fellow before the second world war .
in march 1964 , maud was appointed by sir keith joseph , at the request of local council associations , to head a departmental committee looking into the management of local government .
the maud committee reported three years later .
during the course of the inquiry , maud was chosen to head a royal commission on the reform of all local government in england .
he was awarded a life peerage , hyphenating his surname to become baron redcliffe-maud , of the city and county of bristol in 1967 .
the report of the royal commission on local government in england , popularly known as the redcliffe-maud report , was published in 1969 .
it advocated the wholesale reform of local council boundaries and the institution of large unitary councils based on the principle of mixing rural and urban areas .
accepted by the labour government of harold wilson with minor changes , the opposition from rural areas convinced the conservative opposition to oppose it and no further action was taken after the conservatives won the 1970 general election .
he retired as master of university college in 1976 , to be succeeded by the leading lawyer lord goodman .
his 1973 portrait by ruskin spear can be seen in the national portrait gallery , london .
another portrait hangs in the hall at university college in oxford .
redcliffe-maud was married to jean hamilton , who was educated at somerville college , oxford .
his son , humphrey maud , was one of benjamin britten 's favourite boys while he was at eton .
sir john intervened to curtail humphrey 's frequent visits to stay with britten on his own .
the incident is described in john bridcut 's `` britten 's children '' .
john redcliffe-maud is buried in holywell cemetery , oxford .
his archive is held by the london school of economics library .
redcliffe-maud house at the university college annex known as `` stavertonia '' in north oxford is named in honour of him .
"
89,George Allen,George Allen (public Servant),public servant,australia australian,1852,1852,6,"george thomas allen -lrb- 23 august 185220 april 1940 -rrb- was a senior australian public servant , one of the inaugural heads of departments in the australian public service at australia 's federation .
"
90,Frank Baker,Francis Patrick Baker,teacher,australian,1873,1873,8,"francis -lrb- frank -rrb- patrick baker -lrb- 30 may 1873 -- 2 june 1959 -rrb- was an australian politician , serving one term as the representative for seat of maranoa in the australian house of representatives from september 1940 to august 1943 .
"
91,Samuel Augustus Barnett,Samuel Barnett (reformer),"priest , humanitarian",english,1844,1844,23,"samuel augustus barnett -lrb- 8 february 1844 -- 17 june 1913 -rrb- was an anglican cleric and social reformer who was particularly associated with the establishment of the first university settlement , toynbee hall , in east london in 1884 .
"
92,John William Kendrick,John William Kendrick,"civil engineer , railroad official",american,1853,1853,3,"john william kendrick -lrb- october 14 , 1853 - february 16 , 1924 -rrb- was chief engineer , general manager and vice-president of the northern pacific railway and later vice-chairman of the board of the atchison , topeka and santa fe railway .
"
93,Philip Kruse,Philip Kruse,musician and composer,norwegian,1949,1949,8,"philip antony kruse -lrb- born 13 may 1949 in oslo , norway -rrb- a norwegian orchestra leader , composer , arranger , producer , text writer and musician -lrb- trumpet and vocals -rrb- .
he is the second son of colonel erling o. kruse -lrb- b. 1922 -rrb- and eunice cooklin -lrb- b. 1925 -rrb- .
"
94,Isaac N. Seligman,Isaac Newton Seligman,banker,american,1855,1855,5,"isaac newton seligman -lrb- july 10 , 1855 -- september 30 , 1917 -rrb- was an american banker and communal worker .
"
95,James Fergason,James Fergason,"inventor , businessman",american,1934,1934,20,"james lee fergason -lrb- january 12 , 1934 - december 9 , 2008 -rrb- was an american inventor and business entrepreneur .
a member of the national inventors hall of fame , fergason is best known for his work on an improved liquid crystal display , or lcd .
he held over one hundred u.s. patents at the time of his death .
"
96,H. N. Swanson,H. N. Swanson,literary agent,us,1899,1899,0,"harold norling swanson -lrb- august 28 , 1899 -- may 31 , 1991 -rrb- was a literary agent who represented frank buck , f. scott fitzgerald and many other well-known american writers .
"
97,Erik Davis,Erik Davis,"author , radio talk show host , cultural critic , freelance journalist , lecturer",american,1967,1967,5,"erik davis -lrb- born 1967 in redwood city , california -rrb- is a north american writer , scholar , journalist and public speaker whose writings have run the gamut from rock criticism to cultural analysis to creative explorations of esoteric mysticism .
he is perhaps best known for his book `` techgnosis : myth , magic and mysticism in the age of information '' , as well as his work on california counterculture , including burning man , the human potential movement , and the writings of philip k. dick .
"
98,Jacques Mézard,Jacques Mézard,politician,french,1947,1947,10,"jacques mézard -lrb- born 3 december 1947 -rrb- is a member of the senate of france , representing the cantal department .
he is a member of the radical party of the left .
"
99,John Macadam,John Macadam,chemistry professor,scottish,1827,1827,69,"dr. john macadam -lrb- may 1827 -- 2 september 1865 -rrb- , was a scottish-australian chemist , medical teacher and politician .
the genus `` macadamia '' was named after him in 1857 by his colleague ferdinand von mueller .
"
100,Edward Danger Generazio Ii,Eddie Generazio,student,american,1990,1990,41,"edward danger generazio ii -lrb- born august 2 , 1990 -rrb- , also known as eddie generazio , is an american author and musician .
he is best known for two works of poetry , `` crimson & caramel '' and `` the maniac in the coffee shop '' .
he is also the drummer and a vocalist in the band black clover .
in 2012 , he adopted the stage name christian lezzíl and began exotic dancing .
members of the public voted him the `` hottest stripper or gogo dancer '' in the district of columbia in october 2013 .
"
101,Cheryl Lanham Arguile,Cheryl Lanham,writer,american,1948,1948,3,"cheryl arguile , née `` lanham '' -lrb- b. november 10 , 1948 in richwood , west virginia , united states -rrb- is an american writer under her maiden name cheryl lanham , and under the pseudonyms sarah temple and emily brightwell .
"
102,Miklós Borsos,Miklós Borsos,sculptor,hungarian,1906,1906,8,"miklós borsos -lrb- 13 august 13 1906 -- 27 january 1990 -rrb- was a hungarian sculptor and medallist .
his style integrated elements of archaic art and classicism with modern elements .
"
103,George Bass,George Bass,ship 's surgeon and explorer,british,1771,1771,14,"george bass -lrb- 30 january 1771 -- after 5 february 1803 -rrb- was a british naval surgeon and explorer of australia .
"
104,Cecília Malan,Cecília Malan,journalist,brazilian,1983,1983,4,"cecilia malan -lrb- born 16 april 1983 in rio de janeiro -rrb- , is a brazilian broadcast journalist .
she is the daughter of brazilian economist and former minister of finance , pedro malan .
and has been the london-based correspondent for rede globo since 2011 .
"
105,Víctor Hugo Círigo Vázquez,Víctor Hugo Círigo Vázquez,politician,mexican,1953,1953,2,"víctor hugo círigo vázquez -lrb- born 8 april 1953 -rrb- is a mexican politician from the ecologist green party of mexico -lrb- partially affiliated to the institutional revolutionary party -rrb- .
he has served as deputy of the lviii and lxi legislatures of the mexican congress representing the federal district .
"
106,Stuart Holroyd,Stuart Holroyd,author,british uk,1933,1933,9,"stuart holroyd -lrb- born 10 august 1933 in bradford , yorkshire -rrb- is a british writer .
he first came to prominence for the philosophical and critical works produced during his close association with the writers colin wilson and bill hopkins , but has since written prolifically on parapsychology , contacts with extraterrestrial life , sexual love and other topics .
"
107,Dennis Tito,Dennis Tito,entrepreneur,united states,1940,1940,33,"dennis anthony tito -lrb- born august 8 , 1940 -rrb- is an american engineer and multimillionaire , most widely known as the first space tourist to fund his own trip into space .
in mid-2001 , he spent nearly eight days in orbit as a crew member of iss ep-1 , a visiting mission to the international space station .
this mission was launched by the spacecraft soyuz tm-32 , and was landed by soyuz tm-31 .
"
108,Derek Warburton,Derek Warburton,"lifestyle loves shopping web series , tv personality , contemporary designer guru , style columnist , public speaker on self esteem and , self branding . fashion stylist , host of derek",american,1974,1974,129,"derek warburton -lrb- born july 19 , 1974 -rrb- also known as derek fabulous , is an american fashion stylist best known for working with celebrities , fashion houses , and magazine editors .
in 2010 , warburton cameoed on season three the bravo reality television series `` the real housewives of new york city '' .
he attended college at fashion institute of technology , in new york , ny where he developed his keen fashion sense and honed his talent for styling .
"
109,Ippongi Bang,Ippongi Bang,manga artist,japanese,1965,1965,11,"ippongi bang -lrb- 一本木 蛮 `` ippongi ban '' -rrb- is a multimedia and manga artist , born january 4 , 1965 in yokohama city , japan .
she has been called `` one of the most well-known manga artists in america in the mid-1990s . ''
"
110,Stuart Mcfarlane,Stuart Mcfarlane,public servant,australia australian,1885,1885,11,"stuart gordon mcfarlane -lrb- 4 may 1885 -- 31 december 1970 -rrb- was a senior australian public servant .
he was secretary of the department of the treasury between 1938 and 1949 .
"
111,William Ansel Kinney,William Ansel Kinney,lawyer,kingdom of hawaii united states,1860,1860,30,"william ansel kinney -lrb- 1860 -- 1930 -rrb- was a lawyer and politician in the kingdom of hawaii , through the republic of hawaii and into the territory of hawaii .
"
