,Unnamed: 0,name,search_query,occupation,nationality,birth_year,wikipedia_birth_year,citation,Prompt1,GPT 4 Response Prompt1
229,229,Kevin Mcnally,Kevin Mcnally,actor,british,1956.0,1956,20,Kevin Mcnally was a british actor. When was Kevin Mcnally born?,"Roberto Ivens was born on June 12, 1850."
230,230,Maidie Norman,Maidie Norman,actress,american,1912.0,1912,22,Maidie Norman was a american actress. When was Maidie Norman born?,"I'm sorry, but I couldn't find any information on an attorney or solicitor named Samuel Jackson from England. Could you provide more details?"
231,231,Aamir Khan,Aamir Khan,actor producer director screenwriter television personality social worker,indian,1965.0,1965,377,Aamir Khan was a indian actor producer director screenwriter television personality social worker. When was Aamir Khan born?,"Zhu Jun was born on March 22, 1966."
232,232,Udo Proksch,Udo Proksch,"businessperson , designer , restaurateur",austrian,1934.0,1934,5,"Udo Proksch was a austrian businessperson , designer , restaurateur. When was Udo Proksch born?","Malcolm Todd was born on June 25, 1939."
233,233,Oscar Fay Adams,Oscar Fay Adams,"editor , author",american,1855.0,1855,4,"Oscar Fay Adams was a american editor , author. When was Oscar Fay Adams born?","Rip Esselstyn was born on September 5, 1963."
234,234,Sybrand Van Haersma Buma,Sybrand van Haersma Buma,politician civil servant jurist,dutch,1965.0,1965,10,Sybrand Van Haersma Buma was a dutch politician civil servant jurist. When was Sybrand Van Haersma Buma born?,"There seems to be multiple individuals named Thomas Rivett, and without more specific information, it's difficult to provide an accurate birth date. For example, Thomas Rivett-Carnac, an English landowner and politician, was born in 1807. However, there may be other individuals named Thomas Rivett with different birth dates. Please provide more specific information."
235,235,Raul Gil,Raul Gil,television presenter,brazil,1938.0,1938,4,Raul Gil was a brazil television presenter. When was Raul Gil born?,"Paul Mangwana was born on August 10, 1961."
236,236,Silvio Gómez Leyva,Silvio Gómez Leyva,politician,mexican,1970.0,1970,1,Silvio Gómez Leyva was a mexican politician. When was Silvio Gómez Leyva born?,"Salim Khan was born on November 24, 1935."
237,237,Rémi Bezançon,Rémi Bezançon,"film director , screenwriter",french,1971.0,1971,0,"Rémi Bezançon was a french film director , screenwriter. When was Rémi Bezançon born?","August Košutić was born on August 20, 1872."
238,238,Pixel,Daisuke Amaya,video game developer,japanese,1977.0,1977,9,Pixel was a japanese video game developer. When was Pixel born?,"Anthony Julian was born on January 29, 1902."
239,239,Charlotte Zolotow,Charlotte Zolotow,"editor , writer",american,1915.0,1915,25,"Charlotte Zolotow was a american editor , writer. When was Charlotte Zolotow born?","Gary Klein was born on February 5, 1944."
240,240,Margaret Utinsky,Margaret Utinsky,nurse,american,1900.0,1900,17,Margaret Utinsky was a american nurse. When was Margaret Utinsky born?,"Ed Baird was born on March 17, 1958."
241,241,Bryan Harold Cabot Matthews,Bryan Matthews,"professor emeritus professor , cambridge university -lrb- 1973-1986 -rrb- life fellow of , king 's college , cambridge physiology , cambridge university -lrb- 1952-1973 -rrb-",english,1906.0,1906,9,"Bryan Harold Cabot Matthews was a english professor emeritus professor , cambridge university -lrb- 1973-1986 -rrb- life fellow of , king 's college , cambridge physiology , cambridge university -lrb- 1952-1973 -rrb-. When was Bryan Harold Cabot Matthews born?","Thomas Jefferson Anderson was born on August 9, 1910."
242,242,Rocky Wood,Rocky Wood,writer,new zealander / australian,1959.0,1959,31,Rocky Wood was a new zealander / australian writer. When was Rocky Wood born?,"Arthur Bourns was born on May 8, 1919."
243,243,Ştefan Octavian Iosif,Ștefan Octavian Iosif,"poet , translator",romanian,1875.0,1875,0,"Ştefan Octavian Iosif was a romanian poet , translator. When was Ştefan Octavian Iosif born?","Viktor Medvedchuk was born on August 7, 1954."
244,244,Len Stephan,Len Stephan,farmer,australian,1935.0,1935,2,Len Stephan was a australian farmer. When was Len Stephan born?,"Stevan Mokranjac was born on January 9, 1856."
245,245,Luci Baines Johnson,Luci Baines Johnson,"businesswoman , philanthropist",american,1947.0,1947,15,"Luci Baines Johnson was a american businesswoman , philanthropist. When was Luci Baines Johnson born?","Ayaka Saitō was born on June 2, 1988."
246,246,Michael Smith,Michael J. Smith (astronaut),test pilot,american,1945.0,1945,0,Michael Smith was a american test pilot. When was Michael Smith born?,"Michael Shenstone was born on November 2, 1928."
247,247,Prem Krishna Khanna,Prem Krishna Khanna,freedom fighter,indian,1894.0,1894,21,Prem Krishna Khanna was a indian freedom fighter. When was Prem Krishna Khanna born?,"George P. Mitchell was born on May 21, 1919."
248,248,Alexander Lamont,Alec Lamont,barrister,english australian,1850.0,1850,9,Alexander Lamont was a english australian barrister. When was Alexander Lamont born?,"Yank Barry was born on January 29, 1948."
249,249,Jeff Sutton,Jeff Sutton (real Estate Developer),real estate developer,united states,1960.0,1960,14,Jeff Sutton was a united states real estate developer. When was Jeff Sutton born?,"Roberto Ivens was born on June 12, 1850."
250,250,Muhammad Rivai Riza,Riri Riza,director,indonesian,1970.0,1970,7,Muhammad Rivai Riza was a indonesian director. When was Muhammad Rivai Riza born?,"I'm sorry, but I couldn't find any information on an attorney or solicitor named Samuel Jackson from England. Could you provide more details?"
251,251,Laurence Godfrey,Laurence Godfrey (physicist),physicist and consultant,british,1952.0,1952,2,Laurence Godfrey was a british physicist and consultant. When was Laurence Godfrey born?,"Zhu Jun was born on March 22, 1966."
252,252,Ian Allan,Ian Allan (politician),radio announcer,australian,1916.0,1916,1,Ian Allan was a australian radio announcer. When was Ian Allan born?,"Malcolm Todd was born on June 25, 1939."
253,253,William Large,William Large,"public servant , unionist",english australian,1878.0,1878,3,"William Large was a english australian public servant , unionist. When was William Large born?","Rip Esselstyn was born on September 5, 1963."
254,254,Luís Filipe Vieira,Luís Filipe Vieira,real estate businessman,portuguese,1949.0,1949,145,Luís Filipe Vieira was a portuguese real estate businessman. When was Luís Filipe Vieira born?,"There seems to be multiple individuals named Thomas Rivett, and without more specific information, it's difficult to provide an accurate birth date. For example, Thomas Rivett-Carnac, an English landowner and politician, was born in 1807. However, there may be other individuals named Thomas Rivett with different birth dates. Please provide more specific information."
255,255,Carolyn Forché,Carolyn Forché,"poet , columnist , essayist , lyricist",american,1950.0,1950,20,"Carolyn Forché was a american poet , columnist , essayist , lyricist. When was Carolyn Forché born?","Paul Mangwana was born on August 10, 1961."
256,256,Octavio Salati,Octavio M. Salati,professor of electrical engineering,united states,1914.0,1914,16,Octavio Salati was a united states professor of electrical engineering. When was Octavio Salati born?,"Salim Khan was born on November 24, 1935."
257,257,Val Cleaver,Val Cleaver,aerospace engineer,british,1917.0,1917,7,Val Cleaver was a british aerospace engineer. When was Val Cleaver born?,"August Košutić was born on August 20, 1872."
258,258,Kathryn Kuhlman,Kathryn Kuhlman,evangelist,american -lrb- of german ancestry -rrb-,1907.0,1907,36,Kathryn Kuhlman was a american -lrb- of german ancestry -rrb- evangelist. When was Kathryn Kuhlman born?,"Anthony Julian was born on January 29, 1902."
259,259,Theodore Newman Kaufman,Theodore N. Kaufman,businessman and writer,american,1911.0,1911,36,Theodore Newman Kaufman was a american businessman and writer. When was Theodore Newman Kaufman born?,"Gary Klein was born on February 5, 1944."
260,260,Maxi Iglesias,Maxi Iglesias,"actor , model",spanish,1991.0,1991,5,"Maxi Iglesias was a spanish actor , model. When was Maxi Iglesias born?","Ed Baird was born on March 17, 1958."
261,261,James Blyth,James Blyth (engineer),engineer,scottish,1839.0,1839,35,James Blyth was a scottish engineer. When was James Blyth born?,"Thomas Jefferson Anderson was born on August 9, 1910."
262,262,Francisco Ivens De Sá Dias Branco,Francisco Ivens de Sá Dias Branco,businessman,brazilian,1934.0,1934,4,Francisco Ivens De Sá Dias Branco was a brazilian businessman. When was Francisco Ivens De Sá Dias Branco born?,"Arthur Bourns was born on May 8, 1919."
263,263,Mary Raftery,Mary Raftery,"filmmaker , writer",irish,1957.0,1957,9,"Mary Raftery was a irish filmmaker , writer. When was Mary Raftery born?","Viktor Medvedchuk was born on August 7, 1954."
264,264,Philip Mitchell Baron,Phil Baron,"voice actor , musician , songwriter , cantor",american,1949.0,1949,1,"Philip Mitchell Baron was a american voice actor , musician , songwriter , cantor. When was Philip Mitchell Baron born?","Stevan Mokranjac was born on January 9, 1856."
265,265,Joanna Russ,Joanna Russ,"academic , feminist , fiction writer",american,1937.0,1937,55,"Joanna Russ was a american academic , feminist , fiction writer. When was Joanna Russ born?","Ayaka Saitō was born on June 2, 1988."
266,266,Rama Nagappa Shetty,R. N. Shetty,entrepreneur,indian,1928.0,1928,36,Rama Nagappa Shetty was a indian entrepreneur. When was Rama Nagappa Shetty born?,"Michael Shenstone was born on November 2, 1928."
267,267,Carlos Ismael Noriega,Carlos I. Noriega,marine aviator,united states peru,1959.0,1959,1,Carlos Ismael Noriega was a united states peru marine aviator. When was Carlos Ismael Noriega born?,"George P. Mitchell was born on May 21, 1919."
268,268,Cameron Colvin,Cameron Colvin,"ceo , cam colvin ceo , rise above agency",american,1986.0,1986,8,"Cameron Colvin was a american ceo , cam colvin ceo , rise above agency. When was Cameron Colvin born?","Yank Barry was born on January 29, 1948."
269,269,Robin Roberts,Robin Roberts (newscaster),news anchor,american,1960.0,1960,50,Robin Roberts was a american news anchor. When was Robin Roberts born?,"Roberto Ivens was born on June 12, 1850."
270,270,Steve Jay,Steve Jay,"guitarist , bassist",american,1951.0,1951,2,"Steve Jay was a american guitarist , bassist. When was Steve Jay born?","I'm sorry, but I couldn't find any information about an attorney or solicitor named Samuel Jackson from England. Could you provide more details?"
271,271,Thomas Welsby,Thomas Welsby,"clerk , accountant , company director",australian,1858.0,1858,10,"Thomas Welsby was a australian clerk , accountant , company director. When was Thomas Welsby born?","Zhu Jun was born on March 22, 1966."
272,272,Marjoe Gortner,Marjoe Gortner,"christian revivalist , actor",american,1944.0,1944,37,"Marjoe Gortner was a american christian revivalist , actor. When was Marjoe Gortner born?","Malcolm Todd was born on June 25, 1939."
273,273,Kaisyn Kuliev,Qaysin Quli,"poet , writer",balkar,1917.0,1917,0,"Kaisyn Kuliev was a balkar poet , writer. When was Kaisyn Kuliev born?","Rip Esselstyn was born on September 5, 1963."
274,274,Alan M. Clark,Alan M. Clark,"artist , illustrator , writer",american,1957.0,1957,1,"Alan M. Clark was a american artist , illustrator , writer. When was Alan M. Clark born?","There seems to be multiple individuals named Thomas Rivett, and without more specific information, it's difficult to provide an accurate birth date. For example, Thomas Rivett-Carnac, an English landowner and politician, was born in 1807. However, there may be other individuals named Thomas Rivett with different birth dates. Please provide more specific information."
275,275,Daniel Daperis,Daniel Daperis,"actor , director .",australian,1987.0,1987,0,"Daniel Daperis was a australian actor , director .. When was Daniel Daperis born?","Paul Mangwana was born on August 10, 1961."
276,276,Juan Pedro Aladro Y Kastriota,Juan Pedro Aladro Kastriota,diplomat,spanish,1845.0,1845,22,Juan Pedro Aladro Y Kastriota was a spanish diplomat. When was Juan Pedro Aladro Y Kastriota born?,"Salim Khan was born on November 24, 1935."
277,277,Charles Camarda,Charles Camarda,aerospace engineer,american,1952.0,1952,4,Charles Camarda was a american aerospace engineer. When was Charles Camarda born?,"August Košutić was born on August 20, 1872."
278,278,Chris Riddell,Chris Riddell (futurist),futurologist,british,1981.0,1981,12,Chris Riddell was a british futurologist. When was Chris Riddell born?,"Anthony Julian was born on January 29, 1902."
279,279,Jean Simmons,Jean Simmons,"actress , singer , dancer",british-american,1929.0,1929,55,"Jean Simmons was a british-american actress , singer , dancer. When was Jean Simmons born?","Gary Klein was born on February 5, 1944."
280,280,Umayya Salah Toukan,Umayya Toukan,economist,jordan jordan,1946.0,1946,5,Umayya Salah Toukan was a jordan jordan economist. When was Umayya Salah Toukan born?,"Ed Baird was born on March 17, 1958."
281,281,Martin Tenni,Martin Tenni,hardware store proprietor,australian,1934.0,1934,2,Martin Tenni was a australian hardware store proprietor. When was Martin Tenni born?,"Thomas Jefferson Anderson was born on August 9, 1910."
282,282,Nikolai Leskov,Nikolai Leskov,writer,russian,1831.0,1831,177,Nikolai Leskov was a russian writer. When was Nikolai Leskov born?,"Arthur Bourns was born on May 8, 1919."
283,283,Feliks Konarski,Feliks Konarski,"poet , songwriter , cabaret performer",polish,1907.0,1907,2,"Feliks Konarski was a polish poet , songwriter , cabaret performer. When was Feliks Konarski born?","Viktor Medvedchuk was born on August 7, 1954."
284,284,Lesley Visser,Lesley Visser,"sportscaster , radio-tv personality , sportswriter",american,1953.0,1953,33,"Lesley Visser was a american sportscaster , radio-tv personality , sportswriter. When was Lesley Visser born?","Stevan Mokranjac was born on January 9, 1856."
285,285,Mary Jane Marcasiano,Mary Jane Marcasiano,"fashion and social entrepreneur . designer , costume designer , film producer ,",american,1955.0,1955,31,"Mary Jane Marcasiano was a american fashion and social entrepreneur . designer , costume designer , film producer ,. When was Mary Jane Marcasiano born?","Ayaka Saitō was born on June 2, 1988."
286,286,Anna Johnston Macmanus,Ethna Carbery,journalist,irish,1866.0,1864,15,Anna Johnston Macmanus was a irish journalist. When was Anna Johnston Macmanus born?,"Michael Shenstone was born on November 2, 1928."
287,287,'' Cacai Bautista '',Cacai Bautista,"actress , host , comedian",filipino,1978.0,1978,0,"'' Cacai Bautista '' was a filipino actress , host , comedian. When was '' Cacai Bautista '' born?","George P. Mitchell was born on May 21, 1919."
288,288,Wanda Rutkiewicz,Wanda Rutkiewicz,mountaineer,polish,1943.0,1943,20,Wanda Rutkiewicz was a polish mountaineer. When was Wanda Rutkiewicz born?,"Yank Barry was born on January 29, 1948."
289,289,Carl Frode Tiller,Carl Frode Tiller,"author , novelist",norwegian,1970.0,1970,1,"Carl Frode Tiller was a norwegian author , novelist. When was Carl Frode Tiller born?","Roberto Ivens was born on June 12, 1850."
290,290,Benjamin Cribb,Benjamin Cribb,"general merchant , businessman",english,1807.0,1807,17,"Benjamin Cribb was a english general merchant , businessman. When was Benjamin Cribb born?","I'm sorry, but I couldn't find any information about an attorney or solicitor named Samuel Jackson from England. Could you provide more details?"
291,291,Laura Mclaren,"Laura Mclaren, Baroness Aberconway","activist , author , horticulturist",british,1854.0,1854,3,"Laura Mclaren was a british activist , author , horticulturist. When was Laura Mclaren born?","Zhu Jun was born on March 22, 1966."
292,292,Chris Evans,Chris Evans (presenter),"television , television presenter , voice actor , comedian producer , radio producer , dj , businessman",british,1966.0,1966,117,"Chris Evans was a british television , television presenter , voice actor , comedian producer , radio producer , dj , businessman. When was Chris Evans born?","Malcolm Todd was born on June 25, 1939."
293,293,Minon,Minon,film actor,indian,2000.0,2000,7,Minon was a indian film actor. When was Minon born?,"Rip Esselstyn was born on September 5, 1963."
294,294,Muhammad Mojlum Khan,Muhammad Mojlum Khan,"writer , literary critic , scholar",british,1973.0,1973,11,"Muhammad Mojlum Khan was a british writer , literary critic , scholar. When was Muhammad Mojlum Khan born?","There seems to be multiple individuals named Thomas Rivett, and without more specific information, it's difficult to provide an accurate birth date. For example, Thomas Rivett-Carnac, an English landowner and politician, was born in 1807. However, there may be other individuals named Thomas Rivett with different birth dates. Please provide more specific information."
295,295,Althea Garrison,Althea Garrison,human resources politician,american,1940.0,1940,170,Althea Garrison was a american human resources politician. When was Althea Garrison born?,"Paul Mangwana was born on August 10, 1961."
296,296,Glen Hirshberg,Glen Hirshberg,"novelist , writer , teacher",american,1966.0,1966,28,"Glen Hirshberg was a american novelist , writer , teacher. When was Glen Hirshberg born?","Salim Khan was born on November 24, 1935."
297,297,Swami R. K. Murugesu,Swami Murugesu,"author , spiritual teacher",sri lankan,1933.0,1933,0,"Swami R. K. Murugesu was a sri lankan author , spiritual teacher. When was Swami R. K. Murugesu born?","August Košutić was born on August 18, 1872."
298,298,José Edmundo Ramírez Martínez,José Edmundo Ramírez Martínez,politician,mexican,1968.0,1968,1,José Edmundo Ramírez Martínez was a mexican politician. When was José Edmundo Ramírez Martínez born?,"Anthony Julian was born on January 29, 1902."
299,299,Juan Pérez Medina,Juan Pérez Medina,politician and educator,mexican,1960.0,1960,1,Juan Pérez Medina was a mexican politician and educator. When was Juan Pérez Medina born?,"Gary Klein was born on February 5, 1944."
300,300,Henri De Chabot,Henri Chabot,duke of rohan,french,1616.0,1616,1,Henri De Chabot was a french duke of rohan. When was Henri De Chabot born?,"Ed Baird was born on March 17, 1958."
301,301,Manu Payet,Manu Payet,"actor , screenwriter , comedian , radio presenter , tv presenter",french,1975.0,1975,0,"Manu Payet was a french actor , screenwriter , comedian , radio presenter , tv presenter. When was Manu Payet born?","Thomas Jefferson Anderson was born on August 9, 1910."
302,302,Myron Selznick,Myron Selznick,"film producer , talent agent",american,1898.0,1898,2,"Myron Selznick was a american film producer , talent agent. When was Myron Selznick born?","Arthur Bourns was born on May 8, 1919."
303,303,John Weld,John Weld,"journalist , writer",us,1905.0,1905,4,"John Weld was a us journalist , writer. When was John Weld born?","Viktor Medvedchuk was born on August 7, 1954."
304,304,Horton Clement Williams,Horton Williams,"solicitor , barrister , queen 's counsel , judge",australian,1933.0,1933,2,"Horton Clement Williams was a australian solicitor , barrister , queen 's counsel , judge. When was Horton Clement Williams born?","Stevan Mokranjac was born on January 9, 1856."
305,305,Bert Convy,Bert Convy,"actor , game show host , singer",american,1933.0,1933,16,"Bert Convy was a american actor , game show host , singer. When was Bert Convy born?","Ayaka Saitō was born on June 2, 1988."
306,306,Bryce Walton,Bryce Walton,writer,american,1918.0,1918,7,Bryce Walton was a american writer. When was Bryce Walton born?,"Michael Shenstone was born on November 2, 1928."
307,307,Vivien Leigh,Vivien Leigh,actress,british,1913.0,1913,177,Vivien Leigh was a british actress. When was Vivien Leigh born?,"George P. Mitchell was born on May 21, 1919."
308,308,Emil Škoda,Emil Škoda,founder of the Škoda works,austro-hungarian,1839.0,1839,0,Emil Škoda was a austro-hungarian founder of the Škoda works. When was Emil Škoda born?,"Yank Barry was born on January 29, 1948."
309,309,Pan Yiyang Zh-Hans-Cn 潘逸阳,Pan Yiyang,politician,chinese,1961.0,1961,20,Pan Yiyang Zh-Hans-Cn 潘逸阳 was a chinese politician. When was Pan Yiyang Zh-Hans-Cn 潘逸阳 born?,"Roberto Ivens was born on June 12, 1850."
310,310,Mary P. Sinclair,Mary P. Sinclair,"teacher , librarian , technical researcher , environmental activist",american,1918.0,1918,30,"Mary P. Sinclair was a american teacher , librarian , technical researcher , environmental activist. When was Mary P. Sinclair born?","The information about the birth date of Samuel Jackson, the England attorney and solicitor, is not readily available. It seems there might be confusion with other individuals named Samuel Jackson. Could you provide more specific details?"
311,311,John Heussler,John Heussler,"wine merchant , diplomatic service",german australian,1820.0,1820,15,"John Heussler was a german australian wine merchant , diplomatic service. When was John Heussler born?","Zhu Jun was born on March 22, 1966."
312,312,Adele Poston,Adele Poston,psychiatric nurse,american,1884.0,1884,34,Adele Poston was a american psychiatric nurse. When was Adele Poston born?,"Malcolm Todd was born on June 25, 1939."
313,313,Viscount Clifden,"Francis Agar-Robartes, 7th Viscount Clifden",diplomat and politician,united kingdom,1883.0,1883,0,Viscount Clifden was a united kingdom diplomat and politician. When was Viscount Clifden born?,"Rip Esselstyn was born on September 5, 1963."
314,314,Pradeep Sarkar,Pradeep Sarkar,"producer , director and writer",indian,1955.0,1955,4,"Pradeep Sarkar was a indian producer , director and writer. When was Pradeep Sarkar born?","There seems to be multiple individuals named Thomas Rivett, and without more specific information, it's difficult to provide an accurate birth date. For example, Thomas Rivett-Carnac, an English landowner and politician, was born in 1807. However, there may be other individuals named Thomas Rivett with different birth dates. Please provide more specific information."
315,315,Jeanne Sylvanie Arnould-Plessy,Jeanne Sylvanie Arnould-Plessy,actress,french,1819.0,1819,4,Jeanne Sylvanie Arnould-Plessy was a french actress. When was Jeanne Sylvanie Arnould-Plessy born?,"Paul Mangwana was born on August 10, 1961."
316,316,Ameen Sayani,Ameen Sayani,"announcer , radio jockey",indian,1932.0,1932,4,"Ameen Sayani was a indian announcer , radio jockey. When was Ameen Sayani born?","Salim Khan was born on November 24, 1935."
317,317,John Osborne,John Osborne (writer),writer,uk,1981.0,1981,14,John Osborne was a uk writer. When was John Osborne born?,"August Košutić was born on August 20, 1872."
318,318,Aamina Mohib,Aamina Sheikh,"actress , model",pakistani,1981.0,1981,28,"Aamina Mohib was a pakistani actress , model. When was Aamina Mohib born?","Anthony Julian was born on January 29, 1902."
319,319,Nabil Farouk نبيل فاروق,Nabil Farouk,"novelist , author & poet",egyptian,1956.0,1956,2,"Nabil Farouk نبيل فاروق was a egyptian novelist , author & poet. When was Nabil Farouk نبيل فاروق born?","Gary Klein was born on February 5, 1944."
320,320,Mary Lou Jepsen,Mary Lou Jepsen,technology pioneer,american,2008.0,1965,56,Mary Lou Jepsen was a american technology pioneer. When was Mary Lou Jepsen born?,"Ed Baird was born on March 17, 1958."
321,321,Gary Hardgrave,Gary Hardgrave,"broadcaster , politician",australian,1960.0,1960,20,"Gary Hardgrave was a australian broadcaster , politician. When was Gary Hardgrave born?","Thomas Jefferson Anderson was born on August 9, 1910."
322,322,Edward Johnson,Edward E. Johnston,politician,american,1918.0,1918,2,Edward Johnson was a american politician. When was Edward Johnson born?,"Arthur Bourns was born on May 8, 1919."
323,323,Nadège Lacroix,Nadège Lacroix,"actress television personality , comedian , television presenter , columnist ,",swiss,1986.0,1986,20,"Nadège Lacroix was a swiss actress television personality , comedian , television presenter , columnist ,. When was Nadège Lacroix born?","Viktor Medvedchuk was born on August 7, 1954."
324,324,Sherman E. Lee,Sherman Lee,"art art historian , curator , and expert on asian",american,1918.0,1918,21,"Sherman E. Lee was a american art art historian , curator , and expert on asian. When was Sherman E. Lee born?","Stevan Mokranjac was born on January 9, 1856."
325,325,Dora Greenwell,Dora Greenwell,poet,english,1821.0,1821,14,Dora Greenwell was a english poet. When was Dora Greenwell born?,"Ayaka Saitō was born on June 2, 1988."
326,326,Pa. Ranjith,Pa. Ranjith,film director screenwriter,indian,,1982,61,Pa. Ranjith was a indian film director screenwriter. When was Pa. Ranjith born?,"Michael Shenstone was born on November 2, 1928."
327,327,Joseph Lee,Joseph Lee (recreation Advocate),"social activist , philanthropist",american,1862.0,1862,15,"Joseph Lee was a american social activist , philanthropist. When was Joseph Lee born?","George P. Mitchell was born on May 21, 1919."
328,328,Dr Barry Dallas,Barry Dallas,"medical doctor , chairman of greymouth hospital board",new zealand,1926.0,1926,8,"Dr Barry Dallas was a new zealand medical doctor , chairman of greymouth hospital board. When was Dr Barry Dallas born?","Yank Barry was born on January 29, 1948."
329,329,Michel Petrucciani,Michel Petrucciani,musician,french,1962.0,1962,50,Michel Petrucciani was a french musician. When was Michel Petrucciani born?,"Roberto Ivens was born on June 12, 1850."
330,330,Yukio Mishima,Yukio Mishima,"novelist , essayist , critic , playwright , poet , short story writer",japanese,1925.0,1925,377,"Yukio Mishima was a japanese novelist , essayist , critic , playwright , poet , short story writer. When was Yukio Mishima born?","I'm sorry, but I couldn't find any information about an attorney or solicitor named Samuel Jackson from England. Could you provide more details?"
331,331,Ernst Jaeckh,Ernst Jaeckh,"journalist , orientalist , political scientist","german , british , usa",1875.0,1875,0,"Ernst Jaeckh was a german , british , usa journalist , orientalist , political scientist. When was Ernst Jaeckh born?","Zhu Jun was born on March 22, 1966."
332,332,Concepción Castañeda Ortíz,Concepción Castañeda Ortíz,politician,mexican,1952.0,1952,0,Concepción Castañeda Ortíz was a mexican politician. When was Concepción Castañeda Ortíz born?,"Malcolm Todd was born on June 25, 1939."
333,333,Charles Arthur Banks,Charles Arthur Banks,"mining industrialist , engineer",canadian,1885.0,1885,0,"Charles Arthur Banks was a canadian mining industrialist , engineer. When was Charles Arthur Banks born?","Rip Esselstyn was born on September 5, 1963."
334,334,Linda S. Howington,Linda Howard,novelist,american,1950.0,1950,3,Linda S. Howington was a american novelist. When was Linda S. Howington born?,"There seems to be multiple individuals named Thomas Rivett in history, and without more specific information, it's difficult to provide an accurate birth date. Could you please provide more details?"
335,335,Eustace Mullins,Eustace Mullins,writer,american,1923.0,1923,50,Eustace Mullins was a american writer. When was Eustace Mullins born?,"Paul Mangwana was born on August 10, 1961."
336,336,William J. Kerby,William J. Kerby,"priest , moral theologian , and social justice advocate",american usa,1870.0,1870,11,"William J. Kerby was a american usa priest , moral theologian , and social justice advocate. When was William J. Kerby born?","Salim Khan was born on November 24, 1935."
337,337,Thomas Beddoes,Thomas Beddoes,physician,british,1760.0,1760,20,Thomas Beddoes was a british physician. When was Thomas Beddoes born?,"August Košutić was born on August 4, 1872."
338,338,Thomas Jones,Thomas Llewellyn Jones,company director,welsh australian,1872.0,1872,13,Thomas Jones was a welsh australian company director. When was Thomas Jones born?,"Anthony Julian was born on January 29, 1902."
339,339,Vanessa Winship,Vanessa Winship,photographer,british,1960.0,1960,71,Vanessa Winship was a british photographer. When was Vanessa Winship born?,"Gary Klein was born on February 5, 1944."
340,340,Chris Columbus,Chris Columbus (filmmaker),filmmaker,american,1958.0,1958,157,Chris Columbus was a american filmmaker. When was Chris Columbus born?,"Ed Baird was born on March 17, 1958."
341,341,Anne Alexandra Lawrence,Anne Lawrence,"sexologist , psychologist , anesthesiologist",american,1950.0,1950,7,"Anne Alexandra Lawrence was a american sexologist , psychologist , anesthesiologist. When was Anne Alexandra Lawrence born?","Thomas Jefferson Anderson was born on August 9, 1910."
342,342,Amir Hamzah,Amir Hamzah,poet,indonesian,1911.0,1911,195,Amir Hamzah was a indonesian poet. When was Amir Hamzah born?,"Arthur Bourns was born on May 8, 1919."
343,343,Alice Sebold,Alice Sebold,writer,united states,1963.0,1963,58,Alice Sebold was a united states writer. When was Alice Sebold born?,"Viktor Medvedchuk was born on August 7, 1954."
344,344,Eckhard Supp,Eckhard Supp,"journalist , wine critic",german,1950.0,1950,1,"Eckhard Supp was a german journalist , wine critic. When was Eckhard Supp born?","Stevan Mokranjac was born on January 9, 1856."
345,345,Vincent Brome,Vincent Brome,english writer,english,1910.0,1910,5,Vincent Brome was a english english writer. When was Vincent Brome born?,"Ayaka Saitō was born on June 2, 1988."
346,346,Doug Wright,Doug Wright,"playwright , librettist , screenwriter",united states,1962.0,1962,28,"Doug Wright was a united states playwright , librettist , screenwriter. When was Doug Wright born?","Michael Shenstone was born on November 2, 1928."
347,347,"Isobel , Lady Barnett",Isobel Barnett,medical peace practitioner radio and television personality justice of the,british,1918.0,1918,5,"Isobel , Lady Barnett was a british medical peace practitioner radio and television personality justice of the. When was Isobel , Lady Barnett born?","George P. Mitchell was born on May 21, 1919."
348,348,Raša Papeš,Raša Papeš,"satirist writer , short-story writer , aphorist , black humor",serbian 20px,1947.0,1947,7,"Raša Papeš was a serbian 20px satirist writer , short-story writer , aphorist , black humor. When was Raša Papeš born?","Yank Barry was born on January 29, 1948."
349,349,Steven Isserlis,Steven Isserlis,cellist,british,1958.0,1958,28,Steven Isserlis was a british cellist. When was Steven Isserlis born?,"Roberto Ivens was born on June 12, 1850."
350,350,Shruti,Shruti (actress),"actress , politician",indian,1976.0,1975,23,"Shruti was a indian actress , politician. When was Shruti born?","I'm sorry, but I couldn't find any information about an attorney or solicitor named Samuel Jackson from England. Could you provide more details?"
351,351,Rex Ingamells,Rex Ingamells,poet,australian,1913.0,1913,5,Rex Ingamells was a australian poet. When was Rex Ingamells born?,"Zhu Jun was born on March 22, 1966."
352,352,Timothy Oliver Stoen,Timothy Stoen,lawyer,american,1938.0,1938,126,Timothy Oliver Stoen was a american lawyer. When was Timothy Oliver Stoen born?,"Malcolm Todd was born on June 25, 1939."
353,353,Alan Civil,Alan Civil,musician,united kingdom,1929.0,1929,2,Alan Civil was a united kingdom musician. When was Alan Civil born?,"Rip Esselstyn was born on September 5, 1963."
354,354,Wayne Caldwell,Wayne Caldwell,novelist,american 25px,1948.0,1948,2,Wayne Caldwell was a american 25px novelist. When was Wayne Caldwell born?,"There seems to be multiple individuals named Thomas Rivett in history, and without more specific information, it's difficult to provide an accurate birth date. Please provide more details."
