,name,search_query,occupation,nationality,birth_year,wikipedia_birth_year,citation,Prompt1
178,Hans Kristian Rausing,Hans Kristian Rausing,philanthropist,swedish,1963,1963,9,Hans Kristian Rausing was a swedish philanthropist. When was Hans Kristian Rausing born.
179,Dale Kildee,Dale Kildee,politician,american,1929,1929,26,Dale Kildee was a american politician. When was Dale Kildee born.
180,Chung Joon-Yang,Chung Joon-Yang,"ceo of korea of posco , chairman of national academy engineering",south korea south korean,1948,1948,0,"Chung Joon-Yang was a south korea south korean ceo of korea of posco , chairman of national academy engineering. When was Chung Joon-Yang born."
181,Pablo De Anda Padilla,Pablo de Anda Padilla,priest,mexican,1830,1830,11,Pablo De Anda Padilla was a mexican priest. When was Pablo De Anda Padilla born.
182,Lizbet Martinez,Lizbet Martinez,elementary english educator,cuban,1982,1982,0,Lizbet Martinez was a cuban elementary english educator. When was Lizbet Martinez born.
183,Said Jenie Djauharsjah,Said Djauharsjah Jenie,"scientist , teaching",indonesia,1950,1950,3,"Said Jenie Djauharsjah was a indonesia scientist , teaching. When was Said Jenie Djauharsjah born."
184,Petr Kostka,Petr Kostka,actor,czech,1938,1938,1,Petr Kostka was a czech actor. When was Petr Kostka born.
185,Michael Gottlieb,Michael Gottlieb (director),"film director , screenwriter , video game producer",american,1945,1945,4,"Michael Gottlieb was a american film director , screenwriter , video game producer. When was Michael Gottlieb born."
186,Cesare Terranova,Cesare Terranova,antimafia judge,italian,1921,1921,40,Cesare Terranova was a italian antimafia judge. When was Cesare Terranova born.
187,Miguel Antonio Caro,Miguel Antonio Caro,"journalist , philologist , politician",colombian,1845,1845,28,"Miguel Antonio Caro was a colombian journalist , philologist , politician. When was Miguel Antonio Caro born."
188,Sa Beining,Sa Beining,"host , journalist",chinese,1976,1976,0,"Sa Beining was a chinese host , journalist. When was Sa Beining born."
189,Guillermo Cañedo Malburg,Guillermo Cañedo Malburg,sports executive,mexican,1986,1986,3,Guillermo Cañedo Malburg was a mexican sports executive. When was Guillermo Cañedo Malburg born.
190,Thomas Jouannet,Thomas Jouannet,actor,french,1970,1970,3,Thomas Jouannet was a french actor. When was Thomas Jouannet born.
191,Mario Calixto,Mario Calixto,human rights activist,colombian,1959,1959,3,Mario Calixto was a colombian human rights activist. When was Mario Calixto born.
192,Elizabeth A. Fenn,Elizabeth A. Fenn,historian,american,1959,1959,14,Elizabeth A. Fenn was a american historian. When was Elizabeth A. Fenn born.
193,Tom Shadyac,Tom Shadyac,"comedian , occasional actor , screenwriter , director , producer , author",american,1958,1958,41,"Tom Shadyac was a american comedian , occasional actor , screenwriter , director , producer , author. When was Tom Shadyac born."
194,Justus Scheibert,Justus Scheibert,military strategist,prussian,1831,1831,2,Justus Scheibert was a prussian military strategist. When was Justus Scheibert born.
195,Satoshi Fujita,Satoshi Fujita,professor -lrb- horticulture -rrb-,japan,1959,1959,3,Satoshi Fujita was a japan professor -lrb- horticulture -rrb-. When was Satoshi Fujita born.
196,Garry W. Gosney,Unorthodox Australian Poet,poet,australian,1955,1955,8,Garry W. Gosney was a australian poet. When was Garry W. Gosney born.
197,Marc Didden,Marc Didden,film director,belgium,1949,1949,0,Marc Didden was a belgium film director. When was Marc Didden born.
198,Samuel Pisar,Samuel Pisar,lawyer ; ambassador,poland,1929,1929,22,Samuel Pisar was a poland lawyer ; ambassador. When was Samuel Pisar born.
199,Ulrich Matschoss,Ulrich Matschoss,actor,german,1917,1917,1,Ulrich Matschoss was a german actor. When was Ulrich Matschoss born.
200,John Hampden Burnham,John Hampden Burnham,lawyer,british subject,1860,1860,3,John Hampden Burnham was a british subject lawyer. When was John Hampden Burnham born.
201,Penelope Hobhouse,Penelope Hobhouse,"garden writer , designer",northern irish,1929,1929,19,"Penelope Hobhouse was a northern irish garden writer , designer. When was Penelope Hobhouse born."
202,Gérard Louis-Dreyfus,Gérard Louis-Dreyfus,businessman,french,1932,1932,23,Gérard Louis-Dreyfus was a french businessman. When was Gérard Louis-Dreyfus born.
203,Antoine Duquesne,Antoine Duquesne,politician,belgium,1941,1941,4,Antoine Duquesne was a belgium politician. When was Antoine Duquesne born.
204,Peter Dent,Peter Dent,poet,english,1938,1938,12,Peter Dent was a english poet. When was Peter Dent born.
205,Michael Cudahy,Michael Cudahy (industrialist),industrialist,irish-american,1841,1841,11,Michael Cudahy was a irish-american industrialist. When was Michael Cudahy born.
206,Ken Davies,Ken Davies (politician),accountant,australian,1948,1948,3,Ken Davies was a australian accountant. When was Ken Davies born.
207,John Goss,John Goss (politician),"civil engineer , draftsman",australian,1943,1943,1,"John Goss was a australian civil engineer , draftsman. When was John Goss born."
208,Ricardo Flores Magón,Ricardo Flores Magón,journalist activist revolutionary theorist,mexican,1874,1874,26,Ricardo Flores Magón was a mexican journalist activist revolutionary theorist. When was Ricardo Flores Magón born.
209,Barney Cooney,Barney Cooney,barrister,australian,1934,1934,7,Barney Cooney was a australian barrister. When was Barney Cooney born.
210,Dorothy Awes Haaland,Dorothy Awes Haaland,lawyer,american,1918,1918,13,Dorothy Awes Haaland was a american lawyer. When was Dorothy Awes Haaland born.
211,Sir Ronald William Graham,Ronald William Graham,diplomat,united kingdom,1870,1870,10,Sir Ronald William Graham was a united kingdom diplomat. When was Sir Ronald William Graham born.
212,Pierre Cardinal,Pierre Cardinal,screenwriter,french,1924,1924,1,Pierre Cardinal was a french screenwriter. When was Pierre Cardinal born.
213,Myrna Loy,Myrna Loy,actress,american,1905,1905,92,Myrna Loy was a american actress. When was Myrna Loy born.
214,Clara Gómez Caro,Clara Gómez Caro,politician,mexican,1949,1949,1,Clara Gómez Caro was a mexican politician. When was Clara Gómez Caro born.
215,Jennifer Taylor,Jennifer Taylor (writer),novelist,british,1949,1949,0,Jennifer Taylor was a british novelist. When was Jennifer Taylor born.
216,Julieta Marín Torres,Julieta Marín Torres,politician,mexican,1944,1944,2,Julieta Marín Torres was a mexican politician. When was Julieta Marín Torres born.
217,Graham John Hills,Graham John Hills,"university principal , physical chemist , educationalist",english,1926,1926,2,"Graham John Hills was a english university principal , physical chemist , educationalist. When was Graham John Hills born."
218,Albert Devèze,Albert Devèze,politician,belgium,1881,1881,0,Albert Devèze was a belgium politician. When was Albert Devèze born.
219,Angie Chen Button,Angie Chen Button,businesswoman,american,1954,1954,10,Angie Chen Button was a american businesswoman. When was Angie Chen Button born.
220,Alice Bellagamba,Alice Bellagamba,actress and dancer,italian,1987,1987,0,Alice Bellagamba was a italian actress and dancer. When was Alice Bellagamba born.
221,John Bryan Bowman,John Bryan Bowman,landowner and educator,american,1824,1824,12,John Bryan Bowman was a american landowner and educator. When was John Bryan Bowman born.
222,Ercan Yazgan,Ercan Yazgan,"actor , comedian",turkish,1946,1946,4,"Ercan Yazgan was a turkish actor , comedian. When was Ercan Yazgan born."
223,Charles Ephrussi,Charles Ephrussi,"art historian , critic",russian,1849,1849,1,"Charles Ephrussi was a russian art historian , critic. When was Charles Ephrussi born."
224,Pentti Aalto,Pentti Aalto,linguist,finnish,1917,1917,2,Pentti Aalto was a finnish linguist. When was Pentti Aalto born.
225,Charles Servizio,Charles Servizio,teacher -lrb- retired -rrb- for the san bernardino county supt. of schools,american,1950,1950,2,Charles Servizio was a american teacher -lrb- retired -rrb- for the san bernardino county supt. of schools. When was Charles Servizio born.
226,Stefan Gruber,Stefan Gruber,"animation , performance artist , motion graphics artist , teacher director , editor , colorist , experimental animator",american,1975,1975,8,"Stefan Gruber was a american animation , performance artist , motion graphics artist , teacher director , editor , colorist , experimental animator. When was Stefan Gruber born."
227,Winston Crane,Winston Crane,"farmer , grazier",australian,1941,1941,2,"Winston Crane was a australian farmer , grazier. When was Winston Crane born."
228,Fraser Nelson,Fraser Nelson,"journalist -lrb- editor , '' the spectator '' -rrb-",british,1973,1973,40,"Fraser Nelson was a british journalist -lrb- editor , '' the spectator '' -rrb-. When was Fraser Nelson born."
229,Melissa Anelli,Melissa Anelli,"writer , webmistress",american,1979,1979,26,"Melissa Anelli was a american writer , webmistress. When was Melissa Anelli born."
230,David L. Snell,David Snell (composer),composer,american,1879,1897,11,David L. Snell was a american composer. When was David L. Snell born.
231,Salvador Becerra Rodríguez,Salvador Becerra Rodríguez,politician,mexican,1946,1946,1,Salvador Becerra Rodríguez was a mexican politician. When was Salvador Becerra Rodríguez born.
232,Jean Duverger,Jean Duverger,"actor , dancer , tv presenter",mexican,1973,1973,3,"Jean Duverger was a mexican actor , dancer , tv presenter. When was Jean Duverger born."
233,Daisy Hernández Gaytán,Daisy Hernández Gaytán,politician,mexican,1983,1983,1,Daisy Hernández Gaytán was a mexican politician. When was Daisy Hernández Gaytán born.
234,Abimana Aryasatya,Abimana Aryasatya,actor,indonesian,1982,1982,78,Abimana Aryasatya was a indonesian actor. When was Abimana Aryasatya born.
235,Jandhyala Papayya Sastry,Jandhyala Papayya Sastry,lecturer,indian,1912,1912,3,Jandhyala Papayya Sastry was a indian lecturer. When was Jandhyala Papayya Sastry born.
236,David Hawker,David Hawker,farmer and grazier,australian,1949,1949,9,David Hawker was a australian farmer and grazier. When was David Hawker born.
237,Anatoli Alekseievich Ivanishin Анатолий Алексеевич Иванишин,Anatoli Ivanishin,pilot,russian,1969,1969,0,Anatoli Alekseievich Ivanishin Анатолий Алексеевич Иванишин was a russian pilot. When was Anatoli Alekseievich Ivanishin Анатолий Алексеевич Иванишин born.
238,Chandra Mohan Sharma,Chandra Mohan Sharma,rti activist,indian,1976,1976,25,Chandra Mohan Sharma was a indian rti activist. When was Chandra Mohan Sharma born.
239,Daniel Levy,Daniel Levy (businessman),businessman,british,1962,1962,90,Daniel Levy was a british businessman. When was Daniel Levy born.
240,Chittur Subramanian Venkiteswaran,C. S. Venkiteswaran,"documentary film director , film critic , professor",indian,1959,1959,30,"Chittur Subramanian Venkiteswaran was a indian documentary film director , film critic , professor. When was Chittur Subramanian Venkiteswaran born."
241,Ayşe Arman,Ayşe Arman,"columnist , journalist",turkish,1969,1969,10,"Ayşe Arman was a turkish columnist , journalist. When was Ayşe Arman born."
242,Metodie Bujor,Metodie Bujor,singer,moldovan/russian,1974,1974,3,Metodie Bujor was a moldovan/russian singer. When was Metodie Bujor born.
243,Lisa Tuttle,Lisa Tuttle,writer,american british,1952,1952,34,Lisa Tuttle was a american british writer. When was Lisa Tuttle born.
244,Cristina Odone,Cristina Odone,"journalist , writer , tv commentator","italian , british",1960,1960,32,"Cristina Odone was a italian , british journalist , writer , tv commentator. When was Cristina Odone born."
245,Boudewijn Bouckaert,Boudewijn Bouckaert,"politician , professor",belgian,1947,1947,4,"Boudewijn Bouckaert was a belgian politician , professor. When was Boudewijn Bouckaert born."
246,John G. Gabbert,John Gabbert,associate justice of the california court of appeals,united states,1909,1909,21,John G. Gabbert was a united states associate justice of the california court of appeals. When was John G. Gabbert born.
247,Otto Jespersen,Otto Jespersen,academic,danish,1860,1860,11,Otto Jespersen was a danish academic. When was Otto Jespersen born.
248,Bolwar Mahammad Kunhi,Bolwar Mahammad Kunhi,"retired to october 2011 -rrb- , writer , playwright chief manager , syndicate bank -lrb- december 1972",india,1951,1951,9,"Bolwar Mahammad Kunhi was a india retired to october 2011 -rrb- , writer , playwright chief manager , syndicate bank -lrb- december 1972. When was Bolwar Mahammad Kunhi born."
249,Kay Thompson,Kay Thompson,"author . , composer , musician , actress , singer",american,1909,1909,32,"Kay Thompson was a american author . , composer , musician , actress , singer. When was Kay Thompson born."
250,Sax Rohmer,Sax Rohmer,novelist,british,1883,1883,15,Sax Rohmer was a british novelist. When was Sax Rohmer born.
251,Donna Hilbert,Donna Hilbert,author,american,1946,1946,8,Donna Hilbert was a american author. When was Donna Hilbert born.
252,Jibanananda Das,Jibanananda Das,"poet , writer",indian,1899,1899,40,"Jibanananda Das was a indian poet , writer. When was Jibanananda Das born."
253,Domenico Dolce,Domenico Dolce,fashion designer,italian,1958,1958,23,Domenico Dolce was a italian fashion designer. When was Domenico Dolce born.
254,Al Capp,Al Capp,"cartoonist , satirist , radio and tv commentator",american,1909,1909,76,"Al Capp was a american cartoonist , satirist , radio and tv commentator. When was Al Capp born."
255,Phil Cousineau,Phil Cousineau,writer,american,1952,1952,28,Phil Cousineau was a american writer. When was Phil Cousineau born.
256,Julia B. Cameron,Julia Cameron,"teacher , author , filmmaker , playwright , journalist",american,1948,1948,18,"Julia B. Cameron was a american teacher , author , filmmaker , playwright , journalist. When was Julia B. Cameron born."
257,Imelda Therinne,Imelda Therinne,actress model,indonesian,1982,1982,2,Imelda Therinne was a indonesian actress model. When was Imelda Therinne born.
258,İdris Naim Şahin,İdris Naim Şahin,politician,turkish,1956,1956,2,İdris Naim Şahin was a turkish politician. When was İdris Naim Şahin born.
259,Olga Checkhova,Olga Chekhova,actress,russian,1897,1897,13,Olga Checkhova was a russian actress. When was Olga Checkhova born.
260,Gordon Neil Stewart,Gordon Neil Stewart,writer,australian,1912,1912,9,Gordon Neil Stewart was a australian writer. When was Gordon Neil Stewart born.
261,Sir John Butterfill,John Butterfill,surveyor business executive,british,1941,1941,13,Sir John Butterfill was a british surveyor business executive. When was Sir John Butterfill born.
262,Richard Dimbleby,Richard Dimbleby,broadcaster,british,1913,1913,23,Richard Dimbleby was a british broadcaster. When was Richard Dimbleby born.
263,Dr. Jayanti Naik,Jayanti Naik,"writer , folklorist",indian,1962,1962,12,"Dr. Jayanti Naik was a indian writer , folklorist. When was Dr. Jayanti Naik born."
264,J. D. Williams,J. D. Williams,actor,american,1978,1978,16,J. D. Williams was a american actor. When was J. D. Williams born.
265,Raelee Hill,Raelee Hill,actress,australian,1972,1972,7,Raelee Hill was a australian actress. When was Raelee Hill born.
266,Colin Greenland,Colin Greenland,novelist,british,1954,1954,3,Colin Greenland was a british novelist. When was Colin Greenland born.
267,George John Seabury,George J. Seabury,businessman,american,1844,1844,3,George John Seabury was a american businessman. When was George John Seabury born.
268,Bradley Cooper,Bradley Cooper (athlete),"manager bahamas , wellness centre at the college of the",bahamian,1957,1957,0,"Bradley Cooper was a bahamian manager bahamas , wellness centre at the college of the. When was Bradley Cooper born."
269,Amber Creek,Murder of Amber Creek,student,american,1982,1982,67,Amber Creek was a american student. When was Amber Creek born.
270,Ahmet Hamdi Tanpınar,Ahmet Hamdi Tanpınar,"writer , poet , scholar",turkey,1901,1901,3,"Ahmet Hamdi Tanpınar was a turkey writer , poet , scholar. When was Ahmet Hamdi Tanpınar born."
271,Sue Ramirez,Sue Ramirez,actress,filipino,1996,1996,16,Sue Ramirez was a filipino actress. When was Sue Ramirez born.
272,Mariusz Kolodziej,Mariusz Kolodziej,"boxing promoter , entrepreneur",polish,1966,1966,15,"Mariusz Kolodziej was a polish boxing promoter , entrepreneur. When was Mariusz Kolodziej born."
273,George Howell,George Howell (trade Unionist),trade unionist,british,1833,1833,4,George Howell was a british trade unionist. When was George Howell born.
274,George Addes,George Addes,"politician , activist trade unionist",american-lebanese,1911,1911,12,"George Addes was a american-lebanese politician , activist trade unionist. When was George Addes born."
275,Lars Lindberg Christensen,Lars Lindberg Christensen,astronomer,danish,1970,1970,13,Lars Lindberg Christensen was a danish astronomer. When was Lars Lindberg Christensen born.
276,Robert Raikes,Robert Raikes,philanthropist,british,1736,1735,8,Robert Raikes was a british philanthropist. When was Robert Raikes born.
277,Marianne Alopaeus,Marianne Alopaeus,writer,finnish,1918,1918,5,Marianne Alopaeus was a finnish writer. When was Marianne Alopaeus born.
278,John Franklin Carter,John Franklin Carter,"journalist writer , columnist , novelist , biographer , speech",american,1897,1897,4,"John Franklin Carter was a american journalist writer , columnist , novelist , biographer , speech. When was John Franklin Carter born."
279,Noël Godin,Noël Godin,"writer , critic , actor , anarchist",belgian,1945,1945,5,"Noël Godin was a belgian writer , critic , actor , anarchist. When was Noël Godin born."
280,John Bulwer,John Bulwer,physician,english,1606,1606,31,John Bulwer was a english physician. When was John Bulwer born.
281,Tran Quoc Hien,Trần Quốc Hiền,lawyer,vietnamese,1965,1965,14,Tran Quoc Hien was a vietnamese lawyer. When was Tran Quoc Hien born.
282,Aksel Hagen,Aksel Hagen,politician,norwegian,1953,1953,6,Aksel Hagen was a norwegian politician. When was Aksel Hagen born.
283,Peggy Noonan,Peggy Noonan,"author , columnist , speechwriter",american,1950,1950,35,"Peggy Noonan was a american author , columnist , speechwriter. When was Peggy Noonan born."
284,Matthieu Ricard,Matthieu Ricard,buddhist monk,french,1946,1946,26,Matthieu Ricard was a french buddhist monk. When was Matthieu Ricard born.
285,Katsuji Miyazaki,Katsuji Miyazaki,engineer,japanese,1915,1941,0,Katsuji Miyazaki was a japanese engineer. When was Katsuji Miyazaki born.
286,Rodolfo Lara Lagunas,Rodolfo Lara Lagunas,politician,mexican,1942,1942,1,Rodolfo Lara Lagunas was a mexican politician. When was Rodolfo Lara Lagunas born.
287,Glenn Chadbourne,Glenn Chadbourne,"artist , illustrator , writer",american,1959,1959,0,"Glenn Chadbourne was a american artist , illustrator , writer. When was Glenn Chadbourne born."
288,Howard Morrison,Howard Morrison,entertainer,new zealand,1935,1935,32,Howard Morrison was a new zealand entertainer. When was Howard Morrison born.
289,Carl Cook,Carl Cook,"ceo , cook group",american,1962,1962,11,"Carl Cook was a american ceo , cook group. When was Carl Cook born."
290,José Antonio Cabello,José Antonio Cabello,politician,mexican,1964,1964,1,José Antonio Cabello was a mexican politician. When was José Antonio Cabello born.
291,Margaret Pardee,Margaret Pardee,"violinist , teacher",american,1920,1920,9,"Margaret Pardee was a american violinist , teacher. When was Margaret Pardee born."
292,Francisco Rueda Gómez,Francisco Rueda Gómez,politician,mexican,1964,1964,2,Francisco Rueda Gómez was a mexican politician. When was Francisco Rueda Gómez born.
293,Kübra Öztürk,Kübra Öztürk,chess player,turkish,1991,1991,10,Kübra Öztürk was a turkish chess player. When was Kübra Öztürk born.
294,Jim Ramsay,Jim Ramsay,printer and publisher,australian,1930,1930,4,Jim Ramsay was a australian printer and publisher. When was Jim Ramsay born.
295,William Wellington Greener,William Wellington Greener,gunsmith,uk,1834,1834,0,William Wellington Greener was a uk gunsmith. When was William Wellington Greener born.
296,Lidia Peralta García,Lidia Peralta García,journalist and documentary filmmaker,spanish,1970,1970,4,Lidia Peralta García was a spanish journalist and documentary filmmaker. When was Lidia Peralta García born.
297,Graeme Mcdougall,Graeme Mcdougall,small businessman,australian,1946,1946,5,Graeme Mcdougall was a australian small businessman. When was Graeme Mcdougall born.
298,Francisco Javier Chico Goerne,Francisco Javier Chico Goerne,politician,mexican,1960,1960,1,Francisco Javier Chico Goerne was a mexican politician. When was Francisco Javier Chico Goerne born.
299,Tor Berger Jørgensen,Tor Berger Jørgensen,"priest , provost , bishop",norwegian,1945,1945,9,"Tor Berger Jørgensen was a norwegian priest , provost , bishop. When was Tor Berger Jørgensen born."
300,Conrad Wolfram,Conrad Wolfram,"strategic and international director , wolfram research",british,1970,1970,39,"Conrad Wolfram was a british strategic and international director , wolfram research. When was Conrad Wolfram born."
301,K. T. Muhammed,K. T. Muhammed,playwright,indian,1927,1927,9,K. T. Muhammed was a indian playwright. When was K. T. Muhammed born.
302,Abu Ammaar Yasir Qadhi,Abu Ammaar Yasir Qadhi,instructor,american,1975,1975,0,Abu Ammaar Yasir Qadhi was a american instructor. When was Abu Ammaar Yasir Qadhi born.
303,Rucha Gujarathi,Rucha Gujarathi,actress,indian,1986,1982,25,Rucha Gujarathi was a indian actress. When was Rucha Gujarathi born.
304,Abbas Abdulali Vasi,Mareez,"poet , journalist",india,1917,1917,31,"Abbas Abdulali Vasi was a india poet , journalist. When was Abbas Abdulali Vasi born."
305,Alexis Leon,Alexis Leon,"author , software consultant",indian,1966,1966,19,"Alexis Leon was a indian author , software consultant. When was Alexis Leon born."
306,John S. Kanzius,John Kanzius,radio and television engineer,american,1944,1944,28,John S. Kanzius was a american radio and television engineer. When was John S. Kanzius born.
307,Hans Knöll,Hans Knöll,microbiologist,-lrb- east -rrb- german,1913,1913,26,Hans Knöll was a -lrb- east -rrb- german microbiologist. When was Hans Knöll born.
308,Brenna Garcia,Brenna Garcia,"* actor , commercial model , dancer",filipino,2004,2004,2,"Brenna Garcia was a filipino * actor , commercial model , dancer. When was Brenna Garcia born."
309,Pablo Franco Hernández,Pablo Franco Hernández,lawyer and politician,mexican,1963,1963,1,Pablo Franco Hernández was a mexican lawyer and politician. When was Pablo Franco Hernández born.
310,Ferdinand Édouard Buisson,Ferdinand Buisson,politician,french,1841,1841,10,Ferdinand Édouard Buisson was a french politician. When was Ferdinand Édouard Buisson born.
311,Alexander Carlyle,Alexander Carlyle,minister at inveresk,scottish,1722,1722,19,Alexander Carlyle was a scottish minister at inveresk. When was Alexander Carlyle born.
312,Ashis Nandy,Ashis Nandy,"political csds delhi psychologist , social theorist , former director of",indian,1937,1937,20,"Ashis Nandy was a indian political csds delhi psychologist , social theorist , former director of. When was Ashis Nandy born."
313,Walter J. Boverini,Walter J. Boverini,educator politician,american,1925,1925,8,Walter J. Boverini was a american educator politician. When was Walter J. Boverini born.
314,Allen Ginsberg,Allen Ginsberg,"writer , poet",american,1926,1926,217,"Allen Ginsberg was a american writer , poet. When was Allen Ginsberg born."
315,William Bower Forwood,William Bower Forwood,businessman,english,1840,1840,19,William Bower Forwood was a english businessman. When was William Bower Forwood born.
316,Edwin Beardmore,Edwin Beardmore,grazier,australian,1891,1891,0,Edwin Beardmore was a australian grazier. When was Edwin Beardmore born.
317,Nicholas Joseph `` Nick '' Lorusso,Nicholas Lorusso,attorney,american,1967,1967,2,Nicholas Joseph `` Nick '' Lorusso was a american attorney. When was Nicholas Joseph `` Nick '' Lorusso born.
318,Patricia A. Pulling,Patricia Pulling,author activist,american,1948,1948,21,Patricia A. Pulling was a american author activist. When was Patricia A. Pulling born.
319,Ellison Greenslade,Ellison Greenslade,rbpf commissioner,bahamian,1961,1961,1,Ellison Greenslade was a bahamian rbpf commissioner. When was Ellison Greenslade born.
320,Sally Salminen,Sally Salminen,writer,finnish,1906,1906,1,Sally Salminen was a finnish writer. When was Sally Salminen born.
321,Harry Stott,Harry Stott,stage and television actor,british,1995,1995,4,Harry Stott was a british stage and television actor. When was Harry Stott born.
322,Tom Williams,Tom Williams (presenter),television and radio presenter,australian,1970,1970,13,Tom Williams was a australian television and radio presenter. When was Tom Williams born.
323,Dan Forrest,"Dan Forrest, Jr.",composer,american,1978,1978,0,Dan Forrest was a american composer. When was Dan Forrest born.
324,James Paul Warburg,James Warburg,banker and writer,united states,1896,1896,7,James Paul Warburg was a united states banker and writer. When was James Paul Warburg born.
325,Néstor Villarreal Castro,Néstor Villarreal Castro,politician,mexican,1953,1953,1,Néstor Villarreal Castro was a mexican politician. When was Néstor Villarreal Castro born.
326,Bruce Wight,Bruce Wight,business manager,australian,1914,1914,2,Bruce Wight was a australian business manager. When was Bruce Wight born.
327,Whitney North Seymour,Whitney North Seymour,trial lawyer,united states,1901,1901,4,Whitney North Seymour was a united states trial lawyer. When was Whitney North Seymour born.
328,Roger Holeindre,Roger Holeindre,politician,french,1929,1929,21,Roger Holeindre was a french politician. When was Roger Holeindre born.
329,David Hernández Vallín,David Hernández Vallín,politician,mexican,1967,1967,1,David Hernández Vallín was a mexican politician. When was David Hernández Vallín born.
330,Hervé-Edgar Brunelle,Hervé-Edgar Brunelle,lawyer,canadian,1891,1891,0,Hervé-Edgar Brunelle was a canadian lawyer. When was Hervé-Edgar Brunelle born.
331,Patricia Villanueva Abraján,Patricia Villanueva Abraján,politician,mexican,1955,1955,1,Patricia Villanueva Abraján was a mexican politician. When was Patricia Villanueva Abraján born.
332,Winston Churchill,Winston Churchill (novelist),"novelist , writer",american,1871,1871,12,"Winston Churchill was a american novelist , writer. When was Winston Churchill born."
333,Dina Herrera Soto,Dina Herrera Soto,politician,mexican,1959,1959,1,Dina Herrera Soto was a mexican politician. When was Dina Herrera Soto born.
334,John Berryman,John Berryman,poet,american,1914,1914,44,John Berryman was a american poet. When was John Berryman born.
335,Torgrim Sørnes,Torgrim Sørnes,"author , physician",norwegian,1956,1956,18,"Torgrim Sørnes was a norwegian author , physician. When was Torgrim Sørnes born."
336,"Vaisbekker-Ivanov , Dmitriy",Dmitriy Vaisbekker-Ivanov,"poet , novelist , essayist","ussr , the republic of kazakhstan",1970,1970,11,"Vaisbekker-Ivanov , Dmitriy was a ussr , the republic of kazakhstan poet , novelist , essayist. When was Vaisbekker-Ivanov , Dmitriy born."
337,Louis Loder,Louis Loder,public servant,australia australian,1896,1896,16,Louis Loder was a australia australian public servant. When was Louis Loder born.
338,Prophet Pfp Motsoeneng,Paseka Motsoeneng,"prophet , minister , televangelist",south africa,1968,1968,5,"Prophet Pfp Motsoeneng was a south africa prophet , minister , televangelist. When was Prophet Pfp Motsoeneng born."
339,Lindsay Daen,Lindsay Daen,sculptor,new zealander-american,1923,1923,4,Lindsay Daen was a new zealander-american sculptor. When was Lindsay Daen born.
340,Sergei Aleksandrovich Tokarev,Sergei Aleksandrovich Tokarev,ethnologist,russian,1899,1899,0,Sergei Aleksandrovich Tokarev was a russian ethnologist. When was Sergei Aleksandrovich Tokarev born.
341,Daniel Reisner,Daniel Reisner,attorney,israeli,1963,1963,1,Daniel Reisner was a israeli attorney. When was Daniel Reisner born.
342,Jorge Ortiz Alvarado,Jorge Ortiz Alvarado,politician,mexican,1982,1982,1,Jorge Ortiz Alvarado was a mexican politician. When was Jorge Ortiz Alvarado born.
343,Adam Christopher,Adam Christopher,writer,new zealander/british,1978,1978,9,Adam Christopher was a new zealander/british writer. When was Adam Christopher born.
344,Lynda Williams,Lynda Williams,"author , blogger , analyst",canadian,1958,1958,0,"Lynda Williams was a canadian author , blogger , analyst. When was Lynda Williams born."
345,Steven Zaillian,Steven Zaillian,"screenwriter , director , editor , producer",american,1953,1953,9,"Steven Zaillian was a american screenwriter , director , editor , producer. When was Steven Zaillian born."
346,Owsley Brown Frazier,Owsley Brown Frazier,"executive , entrepreneur",american,1935,1935,19,"Owsley Brown Frazier was a american executive , entrepreneur. When was Owsley Brown Frazier born."
347,Julio César Córdova Martínez,Julio César Córdova Martínez,politician,mexican,1963,1963,1,Julio César Córdova Martínez was a mexican politician. When was Julio César Córdova Martínez born.
348,Anna Olsdotter Arnmar,Anna Olsdotter Arnmar,journalist,swedish,1963,1963,6,Anna Olsdotter Arnmar was a swedish journalist. When was Anna Olsdotter Arnmar born.
349,Ľudo Ondrejov,Ľudo Ondrejov,author,slovak,1901,1901,2,Ľudo Ondrejov was a slovak author. When was Ľudo Ondrejov born.
350,Majora Carter,Majora Carter,"economic advocate consultant , public radio host and environmental equality",usa,1966,1966,105,"Majora Carter was a usa economic advocate consultant , public radio host and environmental equality. When was Majora Carter born."
351,Chris Jarvis,Chris Jarvis (presenter),television presenter and actor,british,1970,1969,26,Chris Jarvis was a british television presenter and actor. When was Chris Jarvis born.
352,José Francisco Valiente,José Francisco Valiente,politician,salvadoran,1911,1911,2,José Francisco Valiente was a salvadoran politician. When was José Francisco Valiente born.
353,Kajal Bandyopadhyay,Kajal Bandyopadhyay,"writer , professor",bangladeshi,1954,1954,10,"Kajal Bandyopadhyay was a bangladeshi writer , professor. When was Kajal Bandyopadhyay born."
354,Isaac Mizrahi,Isaac Mizrahi,fashion designer,american,1961,1961,48,Isaac Mizrahi was a american fashion designer. When was Isaac Mizrahi born.
355,Bill Duff,Bill Duff,actor -lrb- current -rrb-,united states of america,1974,1974,6,Bill Duff was a united states of america actor -lrb- current -rrb-. When was Bill Duff born.
356,Anton Nikolaevich Shkaplerov,Anton Shkaplerov,"colonel , russian air force",russian,1972,1972,16,"Anton Nikolaevich Shkaplerov was a russian colonel , russian air force. When was Anton Nikolaevich Shkaplerov born."
357,Rodney Smith,Rodney Smith (photographer),photography,american,1947,1947,11,Rodney Smith was a american photography. When was Rodney Smith born.
