,prompt,prompt_indirect,ground_truth,citations_query,mean_citation_example,GPT 4 Response,GPT 4 Response Indirect
81,"Melissa Anelli, a american writer , webmistress, was born in 1979.
Devaughn Nixon, a american actor, was born in 1983.
Marci Bowers, a american surgeon, was born in 1958.
Michael Kumpfmüller, a german novelist, was ______","Melissa Anelli, a american writer , webmistress : 1979.
Devaughn Nixon, a american actor : 1983.
Marci Bowers, a american surgeon : 1958.
Michael Kumpfmüller, a german novelist, was ______",1961,0,21.666666666666668,born in 1961.,born in 1961.
82,"Willem Drees , Jr. ., a dutch politician civil servant economist professor, was born in 1922.
Shaina Magdayao, a filipino actress , dancer , host , model, was born in 1989.
Lars Lindberg Christensen, a danish astronomer, was born in 1970.
Mike Grgich, a croatian/american winemaker, was ______","Willem Drees , Jr. ., a dutch politician civil servant economist professor : 1922.
Shaina Magdayao, a filipino actress , dancer , host , model : 1989.
Lars Lindberg Christensen, a danish astronomer : 1970.
Mike Grgich, a croatian/american winemaker, was ______",1923,6,11.0,born in 1923.,born in 1923.
83,"Detlef Franke, a german egyptologist, was born in 1952.
Howard Morrison, a new zealand entertainer, was born in 1935.
Herman Brusselmans, a belgian novelist , poet , playwright , columnist, was born in 1957.
Chris Nyst, a australian novelist, was ______","Detlef Franke, a german egyptologist : 1952.
Howard Morrison, a new zealand entertainer : 1935.
Herman Brusselmans, a belgian novelist , poet , playwright , columnist : 1957.
Chris Nyst, a australian novelist, was ______",1953,23,13.0,born in 1953.,born in 1953.
84,"Göran Stangertz, a swedish actor , film director , theater director, was born in 1944.
John Bryan Bowman, a american landowner and educator, was born in 1824.
Paolo Bonolis, a italian television host, was born in 1961.
Hugh Herr, a american academic engineer biophysicist, was ______","Göran Stangertz, a swedish actor , film director , theater director : 1944.
John Bryan Bowman, a american landowner and educator : 1824.
Paolo Bonolis, a italian television host : 1961.
Hugh Herr, a american academic engineer biophysicist, was ______",1964,34,7.333333333333333,born in 1964.,born in 1964.
85,"Mikhail Vladislavovich Tyurin, a russian mechanical engineer, was born in 1960.
Ernest Christopher Dowson, a english poet , novelist , and short-story writer, was born in 1867.
Myron Brinig, a jewish-american novelist, was born in 1896.
Hanna Winsnes, a norwegian poet , novelist , non-fiction writer, was ______","Mikhail Vladislavovich Tyurin, a russian mechanical engineer : 1960.
Ernest Christopher Dowson, a english poet , novelist , and short-story writer : 1867.
Myron Brinig, a jewish-american novelist : 1896.
Hanna Winsnes, a norwegian poet , novelist , non-fiction writer, was ______",1789,3,16.666666666666668,born in 1789.,born in 1789.
86,"Samuel Hunter Christie, a british professor, was born in 1784.
Jon Kay, a british television presenter, was born in 1969.
Dan Morgenstern, a u.s. citizen since 1947 author , critic , librarian, was born in 1929.
Clifford D. Simak, a american journalist , popular writer, was ______","Samuel Hunter Christie, a british professor : 1784.
Jon Kay, a british television presenter : 1969.
Dan Morgenstern, a u.s. citizen since 1947 author , critic , librarian : 1929.
Clifford D. Simak, a american journalist , popular writer, was ______",1904,31,6.0,born in 1904.,born in 1904.
87,"Will Tuckett, a british ballet choreographer, was born in 1969.
Rodolfo Emilio Giuseppe Pichi-Sermolli, a italian botany, was born in 1912.
Kay Thompson, a american author . , composer , musician , actress , singer, was born in 1909.
Nicholas Longworth, a american lawyer , banker , real estate speculator , winemaker, was ______","Will Tuckett, a british ballet choreographer : 1969.
Rodolfo Emilio Giuseppe Pichi-Sermolli, a italian botany : 1912.
Kay Thompson, a american author . , composer , musician , actress , singer : 1909.
Nicholas Longworth, a american lawyer , banker , real estate speculator , winemaker, was ______",1783,12,12.333333333333334,born in 1869.,born in 1869.
88,"Lisa Tuttle, a american british writer, was born in 1952.
Allen Ginsberg, a american writer , poet, was born in 1926.
May Chidiac, a lebanon lebanese former tv moderator, was born in 1963.
Olga Syahputra, a indonesian actor comedian singer television presenter, was ______","Lisa Tuttle, a american british writer : 1952.
Allen Ginsberg, a american writer , poet : 1926.
May Chidiac, a lebanon lebanese former tv moderator : 1963.
Olga Syahputra, a indonesian actor comedian singer television presenter, was ______",1983,9,94.33333333333333,born in 1983.,born in 1983.
89,"Richard Cayne Perry, a united states hedge fund manager, was born in 1955.
Dr. Jayanti Naik, a indian writer , folklorist, was born in 1962.
Steve Rider, a british broadcaster, was born in 1950.
Albert Norton Richards, a canadian lawyer, was ______","Richard Cayne Perry, a united states hedge fund manager : 1955.
Dr. Jayanti Naik, a indian writer , folklorist : 1962.
Steve Rider, a british broadcaster : 1950.
Albert Norton Richards, a canadian lawyer, was ______",1821,12,38.666666666666664,born in 1821.,born in 1821.
90,"Patricia A. Pulling, a american author activist, was born in 1948.
A. J. P. Taylor, a english historian, was born in 1906.
Rodolfo Emilio Giuseppe Pichi-Sermolli, a italian botany, was born in 1912.
Federico García Lorca, a spanish playwright , poet , theatre director, was ______","Patricia A. Pulling, a american author activist : 1948.
A. J. P. Taylor, a english historian : 1906.
Rodolfo Emilio Giuseppe Pichi-Sermolli, a italian botany : 1912.
Federico García Lorca, a spanish playwright , poet , theatre director, was ______",1898,106,25.666666666666668,born in 1898.,born in 1898.
91,"Ed Earl Repp, a united states screenwriter , short story writer , novelist, was born in 1901.
Horace Gundry Alexander, a british pacifist ornithologist, was born in 1889.
Nita Ambani, a indian chairman international school co-owner of mumbai indians additional director for oberoi of hotels & resorts dhirubhai ambani foundation chairman of dhirubhai ambani, was born in 1963.
Altaf Husain, a pakistani journalist, was ______","Ed Earl Repp, a united states screenwriter , short story writer , novelist : 1901.
Horace Gundry Alexander, a british pacifist ornithologist : 1889.
Nita Ambani, a indian chairman international school co-owner of mumbai indians additional director for oberoi of hotels & resorts dhirubhai ambani foundation chairman of dhirubhai ambani : 1963.
Altaf Husain, a pakistani journalist, was ______",1900,23,33.333333333333336,born in 1900.,born in 1900.
92,"Brankica Stanković, a serbian journalist, was born in 1975.
Samuel Hunter Christie, a british professor, was born in 1784.
George Dalrymple, a scottish explorer , goldfields commissioner , station manager, was born in 1826.
Donna Hilbert, a american author, was ______","Brankica Stanković, a serbian journalist : 1975.
Samuel Hunter Christie, a british professor : 1784.
George Dalrymple, a scottish explorer , goldfields commissioner , station manager : 1826.
Donna Hilbert, a american author, was ______",1946,8,25.0,born in 1945.,born in 1945.
93,"Giuseppe Marotta, a italian director general and sports department ceo of juventus f.c., was born in 1957.
Barney Cooney, a australian barrister, was born in 1934.
Ricardo Flores Magón, a mexican journalist activist revolutionary theorist, was born in 1874.
Marc Didden, a belgium film director, was ______","Giuseppe Marotta, a italian director general and sports department ceo of juventus f.c. : 1957.
Barney Cooney, a australian barrister : 1934.
Ricardo Flores Magón, a mexican journalist activist revolutionary theorist : 1874.
Marc Didden, a belgium film director, was ______",1949,0,21.666666666666668,born in 1949.,born in 1949.
94,"Pascal Smet, a belgian politician, was born in 1967.
Zoe Levin, a american actress, was born in 1993.
Vijay Govindarajan, a united states professor and consultant, was born in 1949.
Sulochana Chavan, a indian singer, was ______","Pascal Smet, a belgian politician : 1967.
Zoe Levin, a american actress : 1993.
Vijay Govindarajan, a united states professor and consultant : 1949.
Sulochana Chavan, a indian singer, was ______",1933,22,7.666666666666667,born in 1933.,born in 1933.
95,"Elco Brinkman, a dutch politician civil servant corporate director, was born in 1948.
Madhusudan Rao, a indian poet , philosopher , freedom fighter, was born in 1853.
Sir Thomas Upington, a anglo-irish politician , lawyer, was born in 1844.
Christian Mckay, a british actor, was ______","Elco Brinkman, a dutch politician civil servant corporate director : 1948.
Madhusudan Rao, a indian poet , philosopher , freedom fighter : 1853.
Sir Thomas Upington, a anglo-irish politician , lawyer : 1844.
Christian Mckay, a british actor, was ______",1973,21,3.6666666666666665,born in 1973.,born in 1973.
96,"Warren Adler, a american author, was born in 1927.
Aung San, a myanmar politician , soldier, was born in 1915.
William Oefelein, a american pilot, was born in 1965.
Eden Robinson, a haisla/heiltsuk author, was ______","Warren Adler, a american author : 1927.
Aung San, a myanmar politician , soldier : 1915.
William Oefelein, a american pilot : 1965.
Eden Robinson, a haisla/heiltsuk author, was ______",1968,16,53.0,born in 1968.,born in 1968.
97,"Emily Abi Rached Nasrallah, a lebanese novelist , journalist , short-story writer, was born in 1931.
Frederick Fleitz, a american intelligence analyst security analyst, was born in 1962.
Albertus Stephanus Geyser, a south african theologian / academic, was born in 1918.
Thomas Ley, a english solicitor, was ______","Emily Abi Rached Nasrallah, a lebanese novelist , journalist , short-story writer : 1931.
Frederick Fleitz, a american intelligence analyst security analyst : 1962.
Albertus Stephanus Geyser, a south african theologian / academic : 1918.
Thomas Ley, a english solicitor, was ______",1880,14,59.666666666666664,born in 1880.,born in 1880.
98,"Kārlis Irbītis, a latvian airplane designer, was born in 1904.
Tom Selleck, a american actor , film producer, was born in 1945.
Vasili Mitrokhin, a russian , british military, was born in 1922.
Sir Peter James Lawler, a australia australian public servant, was ______","Kārlis Irbītis, a latvian airplane designer : 1904.
Tom Selleck, a american actor , film producer : 1945.
Vasili Mitrokhin, a russian , british military : 1922.
Sir Peter James Lawler, a australia australian public servant, was ______",1921,34,26.666666666666668,born in 1921.,born in 1921.
99,"Michael Cudahy, a irish-american industrialist, was born in 1841.
Jean Dufaux, a belgian writer , journalist, was born in 1949.
Bhanu Chander, a indian film actor producer director screenwriter, was born in 1952.
Lisa Tuttle, a american british writer, was ______","Michael Cudahy, a irish-american industrialist : 1841.
Jean Dufaux, a belgian writer , journalist : 1949.
Bhanu Chander, a indian film actor producer director screenwriter : 1952.
Lisa Tuttle, a american british writer, was ______",1952,34,5.333333333333333,born in 1952.,born in 1952.
100,"Melker Schörling, a swedish founder , melker schorling ab, was born in 1947.
Rajasulochana, a indian actress, was born in 1935.
Kumar Mangalam Birla, a indian chairman aditya birla group of co., was born in 1967.
Phill Lewis, a american actor , comedian , television director, was ______","Melker Schörling, a swedish founder , melker schorling ab : 1947.
Rajasulochana, a indian actress : 1935.
Kumar Mangalam Birla, a indian chairman aditya birla group of co. : 1967.
Phill Lewis, a american actor , comedian , television director, was ______",1968,15,28.333333333333332,born in 1968.,born in 1968.
101,"Ivan Focht, a croat philosopher , mycologist, was born in 1927.
Mariusz Szczygieł, a polish journalist , writer, was born in 1966.
Pierre Cardinal, a french screenwriter, was born in 1924.
Lorimer Johnston, a american silent film actor and director, was ______","Ivan Focht, a croat philosopher , mycologist : 1927.
Mariusz Szczygieł, a polish journalist , writer : 1966.
Pierre Cardinal, a french screenwriter : 1924.
Lorimer Johnston, a american silent film actor and director, was ______",1858,1,5.666666666666667,born in 1859.,born in 1859.
102,"Brian Ronald Macdonald, a canadian teacher , dancer , choreographer , director, was born in 1928.
Jean-Philippe Toussaint, a belgian novelist screenwriter director, was born in 1957.
Vijay Govindarajan, a united states professor and consultant, was born in 1949.
Lou Brutus, a american radio personality radio programmer voice over talent musician photographer, was ______","Brian Ronald Macdonald, a canadian teacher , dancer , choreographer , director : 1928.
Jean-Philippe Toussaint, a belgian novelist screenwriter director : 1957.
Vijay Govindarajan, a united states professor and consultant : 1949.
Lou Brutus, a american radio personality radio programmer voice over talent musician photographer, was ______",1962,56,29.0,born in 1962.,born in 1962.
103,"Michael Kumpfmüller, a german novelist, was born in 1961.
Giovanni Amendola, a italian politician & journalist, was born in 1882.
Madelon Vriesendorp, a dutch artist, was born in 1945.
Cut Tari, a indonesian actress presenter model, was ______","Michael Kumpfmüller, a german novelist : 1961.
Giovanni Amendola, a italian politician & journalist : 1882.
Madelon Vriesendorp, a dutch artist : 1945.
Cut Tari, a indonesian actress presenter model, was ______",1977,13,9.0,born in 1977.,born in 1977.
104,"Jibanananda Das, a indian poet , writer, was born in 1899.
Carmella Decesare, a american model , professional wrestler, was born in 1982.
Amber Creek, a american student, was born in 1982.
Terry Moran, a australian public servant, was ______","Jibanananda Das, a indian poet , writer : 1899.
Carmella Decesare, a american model , professional wrestler : 1982.
Amber Creek, a american student : 1982.
Terry Moran, a australian public servant, was ______",1947,0,35.666666666666664,born in 1947.,born in 1947.
105,"Anton Nikolaevich Shkaplerov, a russian colonel , russian air force, was born in 1972.
Michael Gottlieb, a american film director , screenwriter , video game producer, was born in 1945.
Vicky Beeching, a british musician and religious commentator, was born in 1979.
Sir Eric Harrison, a australian soldier, was ______","Anton Nikolaevich Shkaplerov, a russian colonel , russian air force : 1972.
Michael Gottlieb, a american film director , screenwriter , video game producer : 1945.
Vicky Beeching, a british musician and religious commentator : 1979.
Sir Eric Harrison, a australian soldier, was ______",1892,9,24.666666666666668,born in 1892.,born in 1892.
106,"Inder Kumar, a indian model , actor, was born in 1973.
Semavi Eyice, a turkish academic, was born in 1922.
Michael Dobson, a british businessman, was born in 1952.
Anya Reiss, a british playwright, was ______","Inder Kumar, a indian model , actor : 1973.
Semavi Eyice, a turkish academic : 1922.
Michael Dobson, a british businessman : 1952.
Anya Reiss, a british playwright, was ______",1991,4,28.0,born in 1991.,born in 1991.
107,"Anatoli Alekseievich Ivanishin Анатолий Алексеевич Иванишин, a russian pilot, was born in 1969.
Tina Romero, a usa american actress, was born in 1949.
Ayşe Arman, a turkish columnist , journalist, was born in 1969.
Soong May-Ling, a republic of china first lady of the republic of china, was ______","Anatoli Alekseievich Ivanishin Анатолий Алексеевич Иванишин, a russian pilot : 1969.
Tina Romero, a usa american actress : 1949.
Ayşe Arman, a turkish columnist , journalist : 1969.
Soong May-Ling, a republic of china first lady of the republic of china, was ______",1898,0,3.6666666666666665,born in 1897.,born in 1897.
108,"Walter Herries Pollock, a british writer , lecturer , poet , journalist, was born in 1850.
Lorrie Moore, a american short-story writer , novelist, was born in 1957.
Joseph Opala, a united states and sierra leone american educator and academic, was born in 1950.
Thomas Tjapaltjarri, a n painter, was ______","Walter Herries Pollock, a british writer , lecturer , poet , journalist : 1850.
Lorrie Moore, a american short-story writer , novelist : 1957.
Joseph Opala, a united states and sierra leone american educator and academic : 1950.
Thomas Tjapaltjarri, a n painter, was ______",1964,17,54.333333333333336,born in 1964.,born in 1964.
109,"Al Mahmud আল মাহমুদ, a bangladeshi poet , journalist, was born in 1936.
William Bogert, a american actor, was born in 1936.
Edward Topol, a american novelist , screen writer , essayist ., was born in 1938.
David Edgar, a british playwright, was ______","Al Mahmud আল মাহমুদ, a bangladeshi poet , journalist : 1936.
William Bogert, a american actor : 1936.
Edward Topol, a american novelist , screen writer , essayist . : 1938.
David Edgar, a british playwright, was ______",1948,72,8.333333333333334,born in 1948.,born in 1948.
110,"Harold Newcomb Hillebrand, a american professor of english literature, was born in 1887.
Thomas Tjapaltjarri, a n painter, was born in 1964.
Ad Visser, a dutch presenter , musician, was born in 1947.
Peggy Noonan, a american author , columnist , speechwriter, was ______","Harold Newcomb Hillebrand, a american professor of english literature : 1887.
Thomas Tjapaltjarri, a n painter : 1964.
Ad Visser, a dutch presenter , musician : 1947.
Peggy Noonan, a american author , columnist , speechwriter, was ______",1950,35,7.333333333333333,born in 1950.,born in 1950.
111,"Ken ` Ichi Enomoto, a japanese comedian , film and stage actor, was born in 1904.
Richard Wynne, a australian social worker, was born in 1955.
David Edgar, a british playwright, was born in 1948.
Angie Chen Button, a american businesswoman, was ______","Ken ` Ichi Enomoto, a japanese comedian , film and stage actor : 1904.
Richard Wynne, a australian social worker : 1955.
David Edgar, a british playwright : 1948.
Angie Chen Button, a american businesswoman, was ______",1954,10,28.666666666666668,born in 1954.,born in 1954.
112,"Rajasulochana, a indian actress, was born in 1935.
George Addes, a american-lebanese politician , activist trade unionist, was born in 1911.
Kübra Öztürk, a turkish chess player, was born in 1991.
Fraser Nelson, a british journalist -lrb- editor , '' the spectator '' -rrb-, was ______","Rajasulochana, a indian actress : 1935.
George Addes, a american-lebanese politician , activist trade unionist : 1911.
Kübra Öztürk, a turkish chess player : 1991.
Fraser Nelson, a british journalist -lrb- editor , '' the spectator '' -rrb-, was ______",1973,40,9.333333333333334,born in 1973.,born in 1973.
113,"Ramakrishna Ranga Rao, a indian politician, was born in 1901.
Owsley Brown Frazier, a american executive , entrepreneur, was born in 1935.
Paul Carey, a american sportscaster, was born in 1928.
Jean-Philippe Toussaint, a belgian novelist screenwriter director, was ______","Ramakrishna Ranga Rao, a indian politician : 1901.
Owsley Brown Frazier, a american executive , entrepreneur : 1935.
Paul Carey, a american sportscaster : 1928.
Jean-Philippe Toussaint, a belgian novelist screenwriter director, was ______",1957,33,19.666666666666668,born in 1957.,born in 1957.
114,"Jibanananda Das, a indian poet , writer, was born in 1899.
Claus Karl Schilling, a german tropical medicine , medical research, was born in 1871.
John Bunting, a united kingdom sculptor, was born in 1927.
Clarence Hyde Cooke, a american businessman , politician, was ______","Jibanananda Das, a indian poet , writer : 1899.
Claus Karl Schilling, a german tropical medicine , medical research : 1871.
John Bunting, a united kingdom sculptor : 1927.
Clarence Hyde Cooke, a american businessman , politician, was ______",1876,9,20.666666666666668,born in 1876.,born in 1876.
115,"Ramesh Sippy, a indian film director , producer, was born in 1947.
Julia B. Cameron, a american teacher , author , filmmaker , playwright , journalist, was born in 1948.
Robert Roberthin, a prussian geheimrat , poet, was born in 1600.
Mahmoud Dowlatabadi, a iranian writer , actor, was ______","Ramesh Sippy, a indian film director , producer : 1947.
Julia B. Cameron, a american teacher , author , filmmaker , playwright , journalist : 1948.
Robert Roberthin, a prussian geheimrat , poet : 1600.
Mahmoud Dowlatabadi, a iranian writer , actor, was ______",1940,25,15.666666666666666,born in 1940.,born in 1940.
116,"Moon Chae-Won, a south korean actress, was born in 1986.
Christine Jorgensen, a american actress , night club singer, was born in 1926.
Sneha Anne Philip, a indian american physician, was born in 1969.
Letitia Elizabeth Landon, a english writer, was ______","Moon Chae-Won, a south korean actress : 1986.
Christine Jorgensen, a american actress , night club singer : 1926.
Sneha Anne Philip, a indian american physician : 1969.
Letitia Elizabeth Landon, a english writer, was ______",1802,70,19.333333333333332,born in 1802.,born in 1802.
117,"Dale Kildee, a american politician, was born in 1929.
Theodore G. Paraskevakos, a usa inventor , businessman, was born in 1937.
Martha Moody, a american novelist , physician, was born in 1955.
Liza Monroy, a american novelist, was ______","Dale Kildee, a american politician : 1929.
Theodore G. Paraskevakos, a usa inventor , businessman : 1937.
Martha Moody, a american novelist , physician : 1955.
Liza Monroy, a american novelist, was ______",1979,14,16.333333333333332,born in 1981.,born in 1981.
118,"Aidan Merivale Crawley, a english journalist , television executive and editor , and politician, was born in 1908.
Saviour Pirotta, a british author, was born in 1958.
Carlos Tramontina, a brazilian journalist and anchor, was born in 1956.
Ian Angus, a canadian professor , writer, was ______","Aidan Merivale Crawley, a english journalist , television executive and editor , and politician : 1908.
Saviour Pirotta, a british author : 1958.
Carlos Tramontina, a brazilian journalist and anchor : 1956.
Ian Angus, a canadian professor , writer, was ______",1949,13,24.0,born in 1945.,born in 1945.
119,"Jackalyne Pfannenstiel, a us united states united and environment ( states assistant secretary of the navy ) installations, was born in 1947.
Tessy Thomas, a indian scientist at drdo, was born in 1963.
John Collier, a british short story writer , screenplay writer, was born in 1901.
A. J. P. Taylor, a english historian, was ______","Jackalyne Pfannenstiel, a us united states united and environment ( states assistant secretary of the navy ) installations : 1947.
Tessy Thomas, a indian scientist at drdo : 1963.
John Collier, a british short story writer , screenplay writer : 1901.
A. J. P. Taylor, a english historian, was ______",1906,54,26.0,born in 1906.,born in 1906.
120,"Crispin Odey, a british investor , fund manager, was born in 1959.
Baldemar Velásquez, a american labor leader, was born in 1947.
Scott English, a american songwriter record producer, was born in 1937.
Cephas Yao Agbemenu, a ghanaian artist -- art professor, was ______","Crispin Odey, a british investor , fund manager : 1959.
Baldemar Velásquez, a american labor leader : 1947.
Scott English, a american songwriter record producer : 1937.
Cephas Yao Agbemenu, a ghanaian artist -- art professor, was ______",1951,9,68.0,born in 1951.,born in 1951.
121,"Sir Peter James Lawler, a australia australian public servant, was born in 1921.
Nalo Hopkinson, a canadian writer , editor, was born in 1960.
Martin Strel, a slovene long-distance swimmer, was born in 1954.
Kārlis Irbītis, a latvian airplane designer, was ______","Sir Peter James Lawler, a australia australian public servant : 1921.
Nalo Hopkinson, a canadian writer , editor : 1960.
Martin Strel, a slovene long-distance swimmer : 1954.
Kārlis Irbītis, a latvian airplane designer, was ______",1904,1,28.0,born in 1904.,born in 1904.
122,"Justus Scheibert, a prussian military strategist, was born in 1831.
Andy Weir, a american novelist , programmer, was born in 1972.
Jan Bucquoy, a belgium anarchist , author , filmmaker, was born in 1945.
Dan Morgenstern, a u.s. citizen since 1947 author , critic , librarian, was ______","Justus Scheibert, a prussian military strategist : 1831.
Andy Weir, a american novelist , programmer : 1972.
Jan Bucquoy, a belgium anarchist , author , filmmaker : 1945.
Dan Morgenstern, a u.s. citizen since 1947 author , critic , librarian, was ______",1929,8,3.0,born in 1929.,born in 1929.
123,"Sante Kimes, a american con artist, was born in 1934.
David J. Hamer, a australian naval officer, was born in 1923.
Michael Robertson, a american entrepreneur, was born in 1967.
Michelle Mone Obe, a british entrepreneur , model, was ______","Sante Kimes, a american con artist : 1934.
David J. Hamer, a australian naval officer : 1923.
Michael Robertson, a american entrepreneur : 1967.
Michelle Mone Obe, a british entrepreneur , model, was ______",1971,0,28.0,born in 1971.,born in 1971.
124,"Lewis Pinhorn Wood, a british landscapist , watercolourist, was born in 1848.
John Bulwer, a english physician, was born in 1606.
Patrick Brontë, a british teacher , clergyman, was born in 1777.
Valay Shende, a indian contemporary artist sculptor, was ______","Lewis Pinhorn Wood, a british landscapist , watercolourist : 1848.
John Bulwer, a english physician : 1606.
Patrick Brontë, a british teacher , clergyman : 1777.
Valay Shende, a indian contemporary artist sculptor, was ______",1980,5,25.333333333333332,born in 1980.,born in 1980.
125,"Edith Maud Hull, a british novelist, was born in 1880.
Tom Williams, a australian television and radio presenter, was born in 1970.
Ayşe Arman, a turkish columnist , journalist, was born in 1969.
Geoffrey Brock, a american poet translator professor, was ______","Edith Maud Hull, a british novelist : 1880.
Tom Williams, a australian television and radio presenter : 1970.
Ayşe Arman, a turkish columnist , journalist : 1969.
Geoffrey Brock, a american poet translator professor, was ______",1964,8,12.666666666666666,born in 1974.,born in 1974.
126,"Whitney North Seymour, a united states trial lawyer, was born in 1901.
Sir Stephen Spender, a united kingdom poet , novelist , essayist, was born in 1909.
Chris Jarvis, a british television presenter and actor, was born in 1969.
Pascal Smet, a belgian politician, was ______","Whitney North Seymour, a united states trial lawyer : 1901.
Sir Stephen Spender, a united kingdom poet , novelist , essayist : 1909.
Chris Jarvis, a british television presenter and actor : 1969.
Pascal Smet, a belgian politician, was ______",1967,5,23.333333333333332,born in 1967.,born in 1967.
127,"J. D. Williams, a american actor, was born in 1978.
Petr Kostka, a czech actor, was born in 1938.
Fausto Sarli, a italian fashion designer, was born in 1927.
Edward Topol, a american novelist , screen writer , essayist ., was ______","J. D. Williams, a american actor : 1978.
Petr Kostka, a czech actor : 1938.
Fausto Sarli, a italian fashion designer : 1927.
Edward Topol, a american novelist , screen writer , essayist ., was ______",1938,3,7.0,born in 1938.,born in 1938.
128,"Gérard Louis-Dreyfus, a french businessman, was born in 1932.
Gus Levy, a united states investment banker, was born in 1910.
Clarence Hyde Cooke, a american businessman , politician, was born in 1876.
Robert J. Pera, a american ceo of ubiquiti networks , owner of memphis grizzlies, was ______","Gérard Louis-Dreyfus, a french businessman : 1932.
Gus Levy, a united states investment banker : 1910.
Clarence Hyde Cooke, a american businessman , politician : 1876.
Robert J. Pera, a american ceo of ubiquiti networks , owner of memphis grizzlies, was ______",1978,19,11.666666666666666,born in 1978.,born in 1978.
129,"Rutilio Escandón, a mexican lawyer, was born in 1958.
Ján Kollár, a slovak writer , poet , pastor, was born in 1793.
Joseph Calleja, a maltese tenor, was born in 1978.
Eleanor Shipley Duckett, a english historian , philologist , writer , professor, was ______","Rutilio Escandón, a mexican lawyer : 1958.
Ján Kollár, a slovak writer , poet , pastor : 1793.
Joseph Calleja, a maltese tenor : 1978.
Eleanor Shipley Duckett, a english historian , philologist , writer , professor, was ______",1880,17,12.333333333333334,born in 1880.,born in 1880.
130,"Melker Schörling, a swedish founder , melker schorling ab, was born in 1947.
Matthias Storme, a belgium politician , lawyer , academic , philosopher, was born in 1959.
Ragnvald Andreas Indrebø, a norwegian priest, was born in 1891.
Whitney North Seymour, a united states trial lawyer, was ______","Melker Schörling, a swedish founder , melker schorling ab : 1947.
Matthias Storme, a belgium politician , lawyer , academic , philosopher : 1959.
Ragnvald Andreas Indrebø, a norwegian priest : 1891.
Whitney North Seymour, a united states trial lawyer, was ______",1901,4,6.333333333333333,born in 1901.,born in 1901.
131,"Tyler Johnston, a canadian film , television actor, was born in 1987.
Myron Brinig, a jewish-american novelist, was born in 1896.
'' '' ` Medicine Story '' ' ` Manitonquat '' ' , Also Known As, a american writer , speaker , teacher , councilor ., was born in 1929.
Oh Yoon, a south korea painter , printmaker, was ______","Tyler Johnston, a canadian film , television actor : 1987.
Myron Brinig, a jewish-american novelist : 1896.
'' '' ` Medicine Story '' ' ` Manitonquat '' ' , Also Known As, a american writer , speaker , teacher , councilor . : 1929.
Oh Yoon, a south korea painter , printmaker, was ______",1946,24,15.333333333333334,born in 1946.,born in 1946.
132,"Andy Weir, a american novelist , programmer, was born in 1972.
Alexander Belyaev, a russian ) ussr ( lawyer , novelist, was born in 1884.
Henning Haslund-Christensen, a danish travel writer , explorer , anthropologist, was born in 1896.
Graham Kennedy, a australian television personality, was ______","Andy Weir, a american novelist , programmer : 1972.
Alexander Belyaev, a russian ) ussr ( lawyer , novelist : 1884.
Henning Haslund-Christensen, a danish travel writer , explorer , anthropologist : 1896.
Graham Kennedy, a australian television personality, was ______",1934,91,3.6666666666666665,born in 1934.,born in 1934.
133,"Alexis Caswell Angell, a american lawyer , law professor , judge, was born in 1857.
Lance Gooden, a american businessman, was born in 1982.
Colin Greenland, a british novelist, was born in 1954.
Lina Spies, a south african poet writer academic, was ______","Alexis Caswell Angell, a american lawyer , law professor , judge : 1857.
Lance Gooden, a american businessman : 1982.
Colin Greenland, a british novelist : 1954.
Lina Spies, a south african poet writer academic, was ______",1939,2,12.666666666666666,born in 1939.,born in 1939.
134,"Ayman Asfari, a british businessman, was born in 1958.
Denis Scheck, a german journalist , literary critic, was born in 1964.
Thomas Jouannet, a french actor, was born in 1970.
Slobodan Samardžić Слободан Самарџић, a serbian university professor, was ______","Ayman Asfari, a british businessman : 1958.
Denis Scheck, a german journalist , literary critic : 1964.
Thomas Jouannet, a french actor : 1970.
Slobodan Samardžić Слободан Самарџић, a serbian university professor, was ______",1953,6,5.666666666666667,born in 1958.,born in 1958.
135,"The Lord Rose Of Monewden, a british businessman, was born in 1949.
Marina Tsvetaeva, a russian poet and writer, was born in 1892.
Matthias Storme, a belgium politician , lawyer , academic , philosopher, was born in 1959.
Sir Thomas Upington, a anglo-irish politician , lawyer, was ______","The Lord Rose Of Monewden, a british businessman : 1949.
Marina Tsvetaeva, a russian poet and writer : 1892.
Matthias Storme, a belgium politician , lawyer , academic , philosopher : 1959.
Sir Thomas Upington, a anglo-irish politician , lawyer, was ______",1844,6,35.333333333333336,born in 1844.,born in 1844.
136,"J. D. Williams, a american actor, was born in 1978.
John Collier, a british short story writer , screenplay writer, was born in 1901.
Torgrim Sørnes, a norwegian author , physician, was born in 1956.
Michael Robertson, a american entrepreneur, was ______","J. D. Williams, a american actor : 1978.
John Collier, a british short story writer , screenplay writer : 1901.
Torgrim Sørnes, a norwegian author , physician : 1956.
Michael Robertson, a american entrepreneur, was ______",1967,30,24.666666666666668,born in 1967.,born in 1967.
